统一,超生,茅台,警方,唐山,社会调剂,预约,调剂,孩子,迪士尼,南京,被害案,米老鼠,立案,子女,周杰伦,蓝博,美国,全州,英国,检验,全县
0.9976798,0.7027202,0.0,0.0123624,0.0206655,0.8246235,0.0,0.2757525,0.7580613,0.0,0.0031926,0.0032521,0.0,0.1929834,0.2253695,0.0,0.0047833,0.0415147,0.722555,0.0,0.0047833,0.7330479
0.7027202,0.9986979,0.0,0.0154893,0.0244316,0.7289178,0.0,0.6782873,0.8669587,0.0,0.0026836,0.0027431,0.0,0.5408082,0.6745735,0.0,0.0042742,0.1013207,0.9392825,0.0,0.0042742,0.6297105
0.0,0.0,0.9958333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0123624,0.0154893,0.0,0.996139,0.8859828,0.0198933,0.0,0.0182142,0.024563,0.0,0.0277412,0.0160902,0.0,0.022275,0.0110919,0.0,0.0277685,0.0272201,0.0160013,0.0,0.0277685,0.0
0.0206655,0.0244316,0.0,0.8859828,0.9964158,0.0254172,0.0,0.0070089,0.0259084,0.0,0.0114739,0.0155367,0.0,0.0072866,0.0035589,0.0,0.0054153,0.0268049,0.0227564,0.0,0.0054153,0.0
0.8246235,0.7289178,0.0,0.0198933,0.0254172,0.9972299,0.0,0.3035423,0.7730523,0.0,0.0034176,0.0034771,0.0,0.2201455,0.236387,0.0,0.0050082,0.0341116,0.7424965,0.0,0.0050082,0.69432
0.0,0.0,0.0,0.0,0.0,0.0,0.994012,0.0,0.0037927,0.0,0.0,0.0,0.0,0.0,0.0,0.8298609,0.0,0.0,0.0,0.0,0.0,0.0
0.2757525,0.6782873,0.0,0.0182142,0.0070089,0.3035423,0.0,0.9965753,0.6830058,0.0,0.0,0.0,0.0,0.6342014,0.184393,0.0,0.0,0.0708415,0.5068821,0.0,0.0,0.1290626
0.7580613,0.8669587,0.0,0.024563,0.0259084,0.7730523,0.0037927,0.6830058,0.9984026,0.0,0.0056625,0.0057815,0.0,0.553804,0.2847712,0.0028648,0.0044219,0.1111821,0.7844356,0.0,0.0044219,0.6564399
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9948718,0.0,0.0,0.9793798,0.0,0.0,0.0,0.0,0.3785714,0.0,0.6338184,0.0,0.0
0.0031926,0.0026836,0.0,0.0277412,0.0114739,0.0034176,0.0,0.0,0.0056625,0.0,0.995935,0.9775232,0.0,0.007527,0.0075986,0.0,0.0,0.0,0.0027689,0.0,0.0,0.0
0.0032521,0.0027431,0.0,0.0160902,0.0155367,0.0034771,0.0,0.0,0.0057815,0.0,0.9775232,0.9958159,0.0,0.0075866,0.0077177,0.0,0.0,0.0,0.0028284,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9793798,0.0,0.0,0.9947644,0.0,0.0,0.0,0.0,0.3806657,0.0,0.6374699,0.0,0.0
0.1929834,0.5408082,0.0,0.022275,0.0072866,0.2201455,0.0,0.6342014,0.553804,0.0,0.007527,0.0075866,0.0,0.989011,0.0290452,0.0,0.0,0.0379121,0.5358559,0.0,0.0,0.0397274
0.2253695,0.6745735,0.0,0.0110919,0.0035589,0.236387,0.0,0.184393,0.2847712,0.0,0.0075986,0.0077177,0.0,0.0290452,0.9964664,0.0,0.0,0.0356386,0.6908726,0.0,0.0,0.1855817
0.0,0.0,0.0,0.0,0.0,0.0,0.8298609,0.0,0.0028648,0.0,0.0,0.0,0.0,0.0,0.0,0.9958678,0.0,0.0,0.0,0.0,0.0,0.0
0.0047833,0.0042742,0.0,0.0277685,0.0054153,0.0050082,0.0,0.0,0.0044219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9927536,0.0,0.0043596,0.0,0.9927536,0.0
0.0415147,0.1013207,0.0,0.0272201,0.0268049,0.0341116,0.0,0.0708415,0.1111821,0.3785714,0.0,0.0,0.3806657,0.0379121,0.0356386,0.0,0.0,0.9857143,0.0945508,0.4447876,0.0,0.0191877
0.722555,0.9392825,0.0,0.0160013,0.0227564,0.7424965,0.0,0.5068821,0.7844356,0.0,0.0027689,0.0028284,0.0,0.5358559,0.6908726,0.0,0.0043596,0.0945508,0.9985272,0.0,0.0043596,0.6310968
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6338184,0.0,0.0,0.6374699,0.0,0.0,0.0,0.0,0.4447876,0.0,0.9864865,0.0,0.0
0.0047833,0.0042742,0.0,0.0277685,0.0054153,0.0050082,0.0,0.0,0.0044219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9927536,0.0,0.0043596,0.0,0.9927536,0.0
0.7330479,0.6297105,0.0,0.0,0.0,0.69432,0.0,0.1290626,0.6564399,0.0,0.0,0.0,0.0,0.0397274,0.1855817,0.0,0.0,0.0191877,0.6310968,0.0,0.0,0.995098
