违法犯罪,破产,街道,致歉,华为,立案,陈春花,苏宁,调剂,被罚,周杰伦,罗崇敏,盖章,转绿码,经营,音乐,维护,迪士尼,袁冰妍,发布,美国,突击,申请,公司,哈根达斯,失去,虚假信息,最伟大的作品,清算,道歉,移交,黄码,涉嫌,线索
0.9947644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333223,0.0,0.0,0.0,0.0,0.0101936,0.0,0.0,0.0159615,0.0139814,0.0082996,0.0,0.0,0.0,0.0,0.0,0.0,0.0057042,0.0,0.5872204,0.0,0.9145288,0.5543579
0.0,0.994382,0.0,0.0,0.0,0.0,0.0,0.9556735,0.0,0.0,0.0,0.0,0.0163635,0.0,0.6713145,0.0,0.5503916,0.0,0.0,0.3362132,0.0,0.0,0.4944967,0.2928623,0.0,0.0,0.6514917,0.0,0.9432654,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9945946,0.9481717,0.0,0.0,0.0,0.0,0.0106137,0.0,0.0,0.0,0.9787216,0.9918772,0.0,0.0,0.0,0.0,0.0,0.1621622,0.0140663,0.0,0.0,0.0093895,0.0,0.0,0.0,0.0,0.0,0.2118243,0.0140663,0.5709815,0.0,0.0
0.0,0.0,0.9481717,0.9941176,0.0,0.0,0.0,0.0,0.0110907,0.0,0.0,0.0,0.9385621,0.9506394,0.0,0.0,0.0,0.0,0.0,0.1693164,0.0,0.0,0.0,0.0049332,0.0,0.0,0.0,0.0,0.0,0.2377451,0.0143048,0.5634675,0.0,0.0
0.0,0.0,0.0,0.0,0.9952381,0.0,0.9832992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008405,0.0,0.0,0.0,0.0,0.1880952,0.0274892,0.0,0.0,0.0218649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046537,0.0
0.0,0.0,0.0,0.0,0.0,0.9917355,0.0,0.0,0.8016314,0.0152575,0.0053949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136699,0.0309917,0.0,0.0286726,0.0,0.0,0.009814,0.0,0.0,0.0,0.0249656,0.0,0.0,0.0128099,0.0
0.0,0.0,0.0,0.0,0.9832992,0.0,0.9952153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084164,0.0,0.0,0.0,0.0,0.1885167,0.027512,0.0,0.0,0.0263063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046651,0.0
0.0,0.9556735,0.0,0.0,0.0,0.0,0.0,0.9945055,0.0,0.0,0.0,0.0,0.0161783,0.0,0.6666225,0.0,0.5471195,0.0,0.0,0.3324473,0.0,0.0,0.4791994,0.2890964,0.0,0.0,0.6479727,0.0,0.9217203,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0106137,0.0110907,0.0,0.8016314,0.0,0.0,0.9947917,0.0122013,0.0038668,0.0,0.0104993,0.0106431,0.0,0.0,0.0,0.0,0.0,0.0106137,0.0419034,0.0,0.051233,0.0,0.0,0.008286,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0146307,0.0
0.0,0.0,0.0,0.0,0.0,0.0152575,0.0,0.0,0.0122013,0.993007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9824426,0.0,0.0,0.0,0.0,0.7189981,0.0,0.0,0.0,0.0,0.0,0.1946387,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0053949,0.0,0.0,0.0038668,0.0,0.9974747,0.0,0.0,0.0,0.0,0.4955556,0.0,0.0,0.0,0.0475839,0.0,0.0,0.0114667,0.009764,0.0,0.0,0.0,0.9050177,0.0,0.0,0.0,0.0,0.0035354,0.0159685
0.9333223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9951456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153897,0.0137908,0.008109,0.0,0.0,0.0,0.0,0.0,0.0,0.0055136,0.0,0.5792145,0.0,0.958782,0.5482581
0.0,0.0163635,0.9787216,0.9385621,0.0,0.0,0.0,0.0161783,0.0104993,0.0,0.0,0.0,0.994709,0.9814096,0.0086696,0.0,0.0,0.0,0.0,0.1604462,0.0,0.0,0.0,0.0046375,0.0,0.0,0.0,0.0,0.0171958,0.2113095,0.0140091,0.5689223,0.0,0.0
0.0,0.0,0.9918772,0.9506394,0.0,0.0,0.0,0.0,0.0106431,0.0,0.0,0.0,0.9814096,0.9945652,0.0,0.0,0.0,0.0,0.0,0.1626028,0.0,0.0,0.0,0.0047094,0.0,0.0,0.0,0.0,0.0,0.2119565,0.014081,0.5715103,0.0,0.0
0.0,0.6713145,0.0,0.0,0.008405,0.0,0.0084164,0.6666225,0.0,0.0,0.0,0.0,0.0086696,0.0,0.9879518,0.0,0.7751917,0.0,0.0,0.5148811,0.0,0.0351177,0.4706172,0.4729516,0.0,0.0,0.8347528,0.0,0.6923992,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4955556,0.0,0.0,0.0,0.0,0.98,0.0,0.0159524,0.0,0.0254054,0.0213636,0.0,0.0,0.011992,0.0,0.0156818,0.0,0.4272755,0.0,0.0,0.0,0.0,0.0,0.0
0.0101936,0.5503916,0.0,0.0,0.0,0.0,0.0,0.5471195,0.0,0.0,0.0,0.0,0.0,0.0,0.7751917,0.0,0.9848485,0.0,0.0,0.513923,0.0378788,0.0530303,0.4978355,0.5070928,0.0,0.0132576,0.8584117,0.0,0.5650954,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0159524,0.0,0.9880952,0.0,0.0,0.3809524,0.0,0.0484694,0.1429994,0.0,0.9656385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9824426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9928571,0.0,0.0,0.0,0.0,0.7288133,0.0,0.0,0.0,0.0,0.0,0.1952381,0.0,0.0,0.0,0.0
0.0159615,0.3362132,0.1621622,0.1693164,0.1880952,0.0136699,0.1885167,0.3324473,0.0106137,0.0,0.0475839,0.0153897,0.1604462,0.1626028,0.5148811,0.0254054,0.513923,0.0,0.0,0.9945946,0.042199,0.0,0.3742967,0.2535157,0.1900137,0.0083845,0.5888164,0.0467576,0.3531365,0.0470721,0.042199,0.4758179,0.0248771,0.0522258
0.0139814,0.0,0.0140663,0.0,0.0274892,0.0309917,0.027512,0.0,0.0419034,0.0,0.0,0.0137908,0.0,0.0,0.0,0.0213636,0.0378788,0.3809524,0.0,0.042199,0.9772727,0.0681818,0.0215677,0.1335567,0.0,0.4090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0136364,0.0
0.0082996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008109,0.0,0.0,0.0351177,0.0,0.0530303,0.0,0.0,0.0,0.0681818,0.9886364,0.0,0.1227816,0.0,0.0113636,0.0,0.0,0.0,0.0,0.0,0.0,0.0079545,0.0
0.0,0.4944967,0.0,0.0,0.0,0.0286726,0.0,0.4791994,0.051233,0.0,0.0114667,0.0,0.0,0.0,0.4706172,0.0,0.4978355,0.0484694,0.0,0.3742967,0.0215677,0.0,0.9795918,0.3780795,0.0,0.0476577,0.5270936,0.0117521,0.5050391,0.0,0.0,0.0,0.0,0.0
0.0,0.2928623,0.0093895,0.0049332,0.0218649,0.0,0.0263063,0.2890964,0.0,0.7189981,0.009764,0.0,0.0046375,0.0047094,0.4729516,0.011992,0.5070928,0.1429994,0.7288133,0.2535157,0.1335567,0.1227816,0.3780795,0.9960159,0.0,0.1381293,0.6049251,0.0106201,0.3097855,0.1826029,0.0,0.0151499,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1900137,0.0,0.0,0.0,0.0,0.9830508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.009814,0.0,0.0,0.008286,0.0,0.0,0.0,0.0,0.0,0.0,0.0156818,0.0132576,0.9656385,0.0,0.0083845,0.4090909,0.0113636,0.0476577,0.1381293,0.0,0.9886364,0.0,0.0,0.0,0.0265152,0.0,0.0,0.0,0.0
0.0,0.6514917,0.0,0.0,0.0,0.0,0.0,0.6479727,0.0,0.0,0.0,0.0,0.0,0.0,0.8347528,0.0,0.8584117,0.0,0.0,0.5888164,0.0,0.0,0.5270936,0.6049251,0.0,0.0,0.9827586,0.0,0.6673052,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9050177,0.0,0.0,0.0,0.0,0.4272755,0.0,0.0,0.0,0.0467576,0.0,0.0,0.0117521,0.0106201,0.0,0.0,0.0,0.996904,0.0,0.0,0.0,0.0,0.0038207,0.0
0.0057042,0.9432654,0.0,0.0,0.0,0.0,0.0,0.9217203,0.0,0.0,0.0,0.0055136,0.0171958,0.0,0.6923992,0.0,0.5650954,0.0,0.0,0.3531365,0.0,0.0,0.5050391,0.3097855,0.0,0.0,0.6673052,0.0,0.9938272,0.0,0.0,0.0,0.0053591,0.0
0.0,0.0,0.2118243,0.2377451,0.0,0.0249656,0.0,0.0,0.0234375,0.1946387,0.0,0.0,0.2113095,0.2119565,0.0,0.0,0.0,0.0,0.1952381,0.0470721,0.0,0.0,0.0,0.1826029,0.0,0.0265152,0.0,0.0,0.0,0.9583333,0.0,0.1359649,0.0,0.0
0.5872204,0.0,0.0140663,0.0143048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5792145,0.0140091,0.014081,0.0,0.0,0.0,0.0,0.0,0.042199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9772727,0.0,0.5727273,0.8342246
0.0,0.0,0.5709815,0.5634675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5689223,0.5715103,0.0,0.0,0.0,0.0,0.0,0.4758179,0.0,0.0,0.0,0.0151499,0.0,0.0,0.0,0.0,0.0,0.1359649,0.0,0.9736842,0.0,0.0
0.9145288,0.0,0.0,0.0,0.0046537,0.0128099,0.0046651,0.0,0.0146307,0.0,0.0035354,0.958782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0248771,0.0136364,0.0079545,0.0,0.0,0.0,0.0,0.0,0.0038207,0.0053591,0.0,0.5727273,0.0,0.9954545,0.5433155
0.5543579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0159685,0.5482581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0522258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8342246,0.0,0.5433155,0.9705882
