辞职,约翰逊,死刑,英国,英国首相,被判,江西,被家暴,驾车,马斯克,生下,身亡,茅台,余秀华,被压,起诉,爆发,被告人,遇害案,洪某,洪峤,男友,法院,职务,辞去,被害案,家暴,南京,侵权,炒至,女大学生,判罚,冰淇淋,鲍里斯,我不是药神,获赔,赔偿,突击,诗人,留任,宣判,美国,维权,被告,领导人,妇联,盗窃,赵立坚,死缓,激烈,现任,4岁男童,检出
0.9982143,0.9238145,0.0,0.6290219,0.6626064,0.0,0.0030574,0.0,0.0030668,0.0,0.0,0.0034309,0.0,0.0,0.0030858,0.0,0.0998599,0.0,0.0,0.0,0.0,0.0,0.0,0.4856516,0.5360141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6041736,0.0,0.0,0.0,0.0,0.0,0.5579527,0.0,0.1270292,0.0,0.0,0.4792857,0.0,0.0,0.0,0.0,0.0,0.5105703,0.0030763,0.0
0.9238145,0.9984686,0.0,0.6428231,0.7263978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0927744,0.0,0.0,0.0,0.0,0.0,0.0,0.5512278,0.6004851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6243545,0.0,0.0,0.0,0.0,0.0,0.5941332,0.0,0.1251218,0.0,0.0,0.5059877,0.0,0.0,0.0,0.0,0.0,0.5298128,0.0,0.0
0.0,0.0,0.9970674,0.0,0.0,0.8326206,0.0036308,0.0,0.0036402,0.0,0.0,0.0200217,0.0,0.0021785,0.0036593,0.0045719,0.0,0.6627919,0.7355109,0.7387754,0.6955322,0.3991462,0.3617642,0.0,0.0,0.6521416,0.0026291,0.9104821,0.0,0.0,0.9125086,0.0084881,0.0,0.0,0.0,0.0,0.326311,0.0,0.0,0.0,0.6842074,0.0,0.0125774,0.2260663,0.0,0.0,0.5826405,0.0,0.6195095,0.0,0.0,0.0036497,0.0
0.6290219,0.6428231,0.0,0.9954955,0.527564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0883236,0.0,0.0,0.0,0.0,0.0,0.0,0.3319109,0.3600151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495286,0.0,0.0,0.0,0.0,0.0,0.4841295,0.0,0.0884521,0.0,0.0,0.1715315,0.0,0.0,0.0,0.0,0.0,0.5983726,0.0,0.0
0.6626064,0.7263978,0.0,0.527564,0.9966887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0640068,0.0,0.0,0.0,0.0,0.0,0.0,0.6162426,0.6896843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5931388,0.0,0.0,0.0,0.0,0.0,0.4757174,0.0,0.0369255,0.0,0.0,0.4778808,0.0,0.0,0.0,0.0,0.0,0.2430036,0.0,0.0
0.0,0.0,0.8326206,0.0,0.0,0.9965278,0.0,0.0,0.0,0.0,0.0,0.0170967,0.0,0.0024484,0.0,0.0096834,0.0,0.3656083,0.8526133,0.8599737,0.432171,0.4007228,0.3782242,0.0,0.0,0.3879353,0.0028989,0.8275745,0.0154373,0.0,0.8292484,0.0270833,0.0,0.0,0.0163784,0.0051844,0.345384,0.0,0.0,0.0,0.5277778,0.0,0.0128472,0.2177611,0.0,0.0,0.2894115,0.0,0.6001412,0.0,0.0,0.0,0.0
0.0030574,0.0,0.0036308,0.0,0.0,0.0,0.995671,0.0034632,0.9891587,0.0,0.0,0.8981915,0.0,0.0,0.989149,0.0052701,0.0054325,0.0,0.0,0.0,0.0,0.0,0.0,0.0327523,0.0,0.0,0.0033273,0.0,0.0035159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0190349,0.0,0.0,0.0,0.0,0.0097403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9913231,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0034632,0.9974026,0.0,0.0,0.0032595,0.0,0.0,0.7339975,0.0,0.0132129,0.0045667,0.0,0.0,0.0,0.0,0.1739023,0.0,0.0,0.0,0.0,0.3569163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3609023,0.0,0.0,0.0,0.1489177,0.0076278,0.0,0.7073084,0.0,0.0,0.0,0.2553603,0.0,0.0,0.0
0.0030668,0.0,0.0036402,0.0,0.0,0.0,0.9891587,0.0,0.9956522,0.0,0.0,0.899989,0.0,0.0,0.9912853,0.0,0.0054419,0.0,0.0,0.0,0.0,0.0,0.0,0.0327994,0.0,0.0,0.0,0.0,0.0035253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0190537,0.0,0.0,0.0,0.0,0.0097497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9934688,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996139,0.9844954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00315,0.0032819,0.0,0.0,0.0047083,0.0,0.0,0.004289,0.0,0.0,0.0,0.0,0.0,0.0,0.0285188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032595,0.0,0.9844954,0.9960784,0.0,0.0,0.002673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031236,0.0031803,0.0033121,0.0,0.0,0.0047386,0.0,0.0,0.0043193,0.0,0.0,0.0,0.0,0.0,0.0,0.0286096,0.0,0.0,0.0,0.0039216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0034309,0.0,0.0200217,0.0,0.0,0.0170967,0.8981915,0.0,0.899989,0.0,0.0,0.9949239,0.0,0.0032503,0.8989002,0.0,0.005806,0.0,0.0189242,0.018773,0.0208475,0.0,0.0,0.0276961,0.0,0.0048855,0.0,0.0187879,0.0038894,0.0,0.0188178,0.0,0.0,0.0,0.0,0.0,0.019782,0.0,0.0,0.0,0.0047702,0.0101138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9018021,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036585,0.0,0.8920545,0.0,0.0,0.9071995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0514228
0.0,0.0,0.0021785,0.0,0.0,0.0024484,0.0,0.7339975,0.0,0.0,0.002673,0.0032503,0.0,0.9985755,0.0,0.0114535,0.0039802,0.0,0.0029052,0.0028674,0.0,0.222135,0.0051765,0.0,0.0,0.0030597,0.725641,0.0038635,0.0,0.0,0.0038755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525836,0.0,0.0058888,0.008288,0.0236467,0.0070414,0.0,0.6575666,0.0,0.0,0.0,0.4206469,0.0,0.0,0.0
0.0030858,0.0,0.0036593,0.0,0.0,0.0,0.989149,0.0,0.9912853,0.0,0.0,0.8989002,0.0,0.0,0.995614,0.0,0.005461,0.0,0.0,0.0,0.0,0.0,0.0,0.0328947,0.0,0.0,0.0,0.0,0.0035443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0190918,0.0,0.0,0.0,0.0,0.0097687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9934402,0.0
0.0,0.0,0.0045719,0.0,0.0,0.0096834,0.0052701,0.0132129,0.0,0.0,0.0,0.0,0.0,0.0114535,0.0,0.9937888,0.0,0.0061176,0.0,0.0,0.0057794,0.006507,0.1362578,0.0,0.0,0.005453,0.0170735,0.0043251,0.681912,0.0,0.0043311,0.0117667,0.0,0.0,0.0054641,0.9109874,0.0836682,0.0,0.0,0.0,0.0053377,0.245671,0.2985507,0.2924758,0.0,0.0151991,0.0082602,0.0,0.0086001,0.0,0.0,0.0,0.0
0.0998599,0.0927744,0.0,0.0883236,0.0640068,0.0,0.0054325,0.0045667,0.0054419,0.0,0.0,0.005806,0.0,0.0039802,0.005461,0.0,0.9934641,0.0,0.0,0.0,0.0,0.0066693,0.0,0.0459236,0.0484233,0.0,0.0044308,0.0,0.0046193,0.0,0.0,0.0060458,0.0,0.0493996,0.0056265,0.0,0.0,0.0,0.0,0.0214318,0.0,0.0216875,0.0,0.0,0.0398039,0.0052288,0.0,0.0626362,0.0,0.0130719,0.0113325,0.0054514,0.0
0.0,0.0,0.6627919,0.0,0.0,0.3656083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061176,0.0,0.9939759,0.2446364,0.2376921,0.8926777,0.2308827,0.269148,0.0,0.0,0.6699333,0.0,0.6982075,0.0,0.0,0.6991938,0.0057898,0.0,0.0,0.0,0.0,0.2487597,0.0,0.0,0.0,0.6974774,0.0,0.0,0.1961644,0.0,0.0,0.7513352,0.0,0.3402621,0.0,0.0,0.0,0.0
0.0,0.0,0.7355109,0.0,0.0,0.8526133,0.0,0.0,0.0,0.0,0.0,0.0189242,0.0,0.0029052,0.0,0.0,0.0,0.2446364,0.995614,0.9478978,0.330941,0.2573398,0.2463189,0.0,0.0,0.1725352,0.0033558,0.7746363,0.0,0.0,0.7759933,0.0049708,0.0,0.0,0.0,0.0,0.3245614,0.0,0.0,0.0,0.35401,0.0,0.0133041,0.2130524,0.0,0.0,0.1469524,0.0,0.3382495,0.0,0.0,0.0,0.0
0.0,0.0,0.7387754,0.0,0.0,0.8599737,0.0,0.0,0.0,0.0,0.0,0.018773,0.0,0.0028674,0.0,0.0,0.0,0.2376921,0.9478978,0.9956897,0.309054,0.3000528,0.2383005,0.0,0.0,0.2116217,0.003318,0.7795521,0.0,0.0,0.7809331,0.004933,0.0,0.0,0.0,0.0,0.3232759,0.0,0.0,0.0,0.3685345,0.0,0.0132663,0.2121072,0.0,0.0,0.1315766,0.0,0.3901336,0.0,0.0,0.0,0.0
0.0,0.0,0.6955322,0.0,0.0,0.432171,0.0,0.0,0.0,0.0,0.0,0.0208475,0.0,0.0,0.0,0.0057794,0.0,0.8926777,0.330941,0.309054,0.9946524,0.2733821,0.2498329,0.0,0.0,0.677864,0.0,0.7241555,0.0,0.0,0.7252674,0.0054516,0.0,0.0,0.0,0.0,0.2807487,0.0,0.0,0.0,0.6917375,0.0,0.0,0.2160699,0.0,0.0,0.7437014,0.0,0.351237,0.0,0.0,0.0,0.0
0.0,0.0,0.3991462,0.0,0.0,0.4007228,0.0,0.1739023,0.0,0.0,0.0,0.0,0.0,0.222135,0.0,0.006507,0.0066693,0.2308827,0.2573398,0.3000528,0.2733821,0.9931973,0.3539541,0.0,0.0,0.3564243,0.1780019,0.4204994,0.0,0.0,0.4210434,0.0061791,0.0,0.0,0.0,0.0,0.2473489,0.0,0.2772646,0.0,0.4732143,0.0,0.0,0.2238009,0.0,0.1823129,0.094116,0.0,0.5515437,0.0396158,0.0,0.0,0.0
0.0,0.0,0.3617642,0.0,0.0,0.3782242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051765,0.0,0.1362578,0.0,0.269148,0.2463189,0.2383005,0.2498329,0.3539541,0.9910714,0.0,0.0,0.2111628,0.0,0.3523955,0.2384411,0.0,0.3527661,0.1738095,0.0,0.0,0.1637466,0.1424261,0.4608718,0.0,0.0097274,0.0,0.3883929,0.0361201,0.0467262,0.485703,0.0,0.0,0.0577135,0.0,0.478022,0.0,0.0,0.0,0.0
0.4856516,0.5512278,0.0,0.3319109,0.6162426,0.0,0.0327523,0.0,0.0327994,0.0,0.0,0.0276961,0.0,0.0,0.0328947,0.0,0.0459236,0.0,0.0,0.0,0.0,0.0,0.0,0.9912281,0.8598092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375765,0.0,0.0,0.0,0.0,0.0,0.4296206,0.0,0.0239234,0.0,0.0,0.3452632,0.0,0.0,0.0,0.0,0.0,0.0871534,0.0328469,0.0
