霍乱病例,谭谈交通,霍乱,下架,节目,谭乔,维权,用户,访问,索赔,删除,赔偿,美国,目标,阳性,纯属,预防,一例,误导,总统,环保
0.9980392,0.0038511,0.5848416,0.0020626,0.0,0.0,0.0,0.0,0.0074739,0.0,0.0,0.0,0.1481618,0.0,0.4839572,0.0,0.3653186,0.6359017,0.0,0.0,0.0
0.0038511,0.9981096,0.0070186,0.9305907,0.5587659,0.6430276,0.5352483,0.0025686,0.0,0.5324512,0.0,0.5174676,0.0113618,0.0,0.0,0.0,0.0165702,0.0027057,0.0,0.0,0.0200722
0.5848416,0.0070186,0.9948718,0.0,0.0,0.0,0.0,0.0,0.0090576,0.0,0.0,0.0,0.0519231,0.0,0.4074592,0.0,0.4729167,0.4497653,0.0,0.0,0.0
0.0020626,0.9305907,0.0,0.9978355,0.5556019,0.6237858,0.5241263,0.0054113,0.0,0.4830604,0.0,0.5027889,0.0114989,0.0,0.0,0.0,0.0,0.0028428,0.0,0.0,0.0203463
0.0,0.5587659,0.0,0.5556019,0.9908257,0.3817968,0.3312262,0.0,0.0,0.3313389,0.0,0.0426076,0.0,0.0,0.0,0.0,0.0202122,0.0,0.0,0.0,0.0
0.0,0.6430276,0.0,0.6237858,0.3817968,0.9939024,0.3109756,0.0,0.0,0.6280046,0.0,0.5572233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5352483,0.0,0.5241263,0.3312262,0.3109756,0.9878049,0.0077209,0.0,0.2535348,0.0077315,0.0942777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151885
0.0,0.0025686,0.0,0.0054113,0.0,0.0,0.0077209,0.9967532,0.5762987,0.0,0.9837238,0.0,0.0240801,0.0,0.0,0.5546537,0.0,0.0,0.5488678,0.0,0.0
0.0074739,0.0,0.0090576,0.0,0.0,0.0,0.0,0.5762987,0.987013,0.0,0.5851795,0.0,0.0507305,0.0123075,0.0,0.6623377,0.0,0.0082541,0.6566767,0.0187341,0.0
0.0,0.5324512,0.0,0.4830604,0.3313389,0.6280046,0.2535348,0.0,0.0,0.9855072,0.0,0.2697882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0077315,0.9837238,0.5851795,0.0,0.996732,0.0,0.0120507,0.0,0.0,0.5550887,0.0,0.0,0.549271,0.0,0.0
0.0,0.5174676,0.0,0.5027889,0.0426076,0.5572233,0.0942777,0.0,0.0,0.2697882,0.0,0.9807692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1481618,0.0113618,0.0519231,0.0114989,0.0,0.0,0.0,0.0240801,0.0507305,0.0,0.0120507,0.0,0.9791667,0.0649225,0.0,0.0,0.078125,0.0974178,0.0,0.1594828,0.0195076
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123075,0.0,0.0,0.0,0.0649225,0.9883721,0.0,0.0,0.0,0.0,0.0,0.0086875,0.7452431
0.4839572,0.0,0.4074592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.969697,0.0,0.0307765,0.5242744,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5546537,0.6623377,0.0,0.5550887,0.0,0.0,0.0,0.0,0.9761905,0.0,0.0,0.8901099,0.0,0.0
0.3653186,0.0165702,0.4729167,0.0,0.0202122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078125,0.0,0.0307765,0.0,0.96875,0.278169,0.0,0.0,0.0
0.6359017,0.0027057,0.4497653,0.0028428,0.0,0.0,0.0,0.0,0.0082541,0.0,0.0,0.0,0.0974178,0.0,0.5242744,0.0,0.278169,0.9964789,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5488678,0.6566767,0.0,0.549271,0.0,0.0,0.0,0.0,0.8901099,0.0,0.0,0.974359,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0187341,0.0,0.0,0.0,0.1594828,0.0086875,0.0,0.0,0.0,0.0,0.0,0.9942529,0.0
0.0,0.0200722,0.0,0.0203463,0.0,0.0,0.0151885,0.0,0.0,0.0,0.0,0.0,0.0195076,0.7452431,0.0,0.0,0.0,0.0,0.0,0.0,0.9818182
