警方,雨衣男,母女,特斯拉,苏州,电视台,起火,潜逃,进屋,面包,麦当劳,离婚,谭乔,续约,比亚迪,股份,目标,版权,货架,男子,辞退,员工,被判赔,莱阳,转让,武汉大学,犯罪,躺平,节目,下架,涉事,内卷,用户,拘留,被害人,车辆,碳中和,维权,乐视,电视,广播,神仙,生产,社保,申请,监控,汽车,运营,资本,餐厅,预防,症状,核实
0.997416,0.7442322,0.8411492,0.0,0.0,0.0,0.0,0.1768881,0.4629163,0.0,0.0,0.6484428,0.0,0.0,0.0,0.0,0.0059216,0.0,0.0,0.5680564,0.0,0.0,0.0,0.7549923,0.0,0.0,0.5872278,0.0,0.0,0.0,0.4056597,0.0,0.0,0.3156741,0.6096287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010726,0.1016279,0.0,0.0,0.0,0.0,0.0,0.0,0.4885816
0.7442322,0.9986772,0.8579569,0.0,0.0,0.0,0.0,0.6512039,0.7092056,0.0,0.0,0.6229589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5372515,0.0,0.0,0.0,0.6331548,0.0,0.0,0.5531746,0.0,0.0,0.0,0.3750706,0.0,0.0,0.6385366,0.5569062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0100953,0.2025661,0.0,0.0,0.0,0.0,0.0,0.0,0.4535965
0.8411492,0.8579569,0.9981685,0.0,0.0,0.0,0.0,0.1785019,0.7883963,0.0,0.0,0.6219219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5637066,0.0,0.0,0.0,0.6786159,0.0,0.0,0.5620879,0.0,0.0,0.0,0.3923681,0.0,0.0,0.6894663,0.5808174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0103497,0.1637363,0.0,0.0,0.0,0.0,0.0,0.0,0.4761657
0.0,0.0,0.0,0.9945355,0.9808293,0.0,0.9478076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123138,0.0,0.0,0.0,0.0,0.0,0.0,0.003483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0176596,0.0,0.0,0.6419642,0.0,0.0,0.0,0.0,0.0,0.0,0.0213375,0.0,0.0,0.0,0.4391101,0.0,0.0,0.0,0.1409588,0.0,0.0162458
0.0,0.0,0.0,0.9808293,0.9945055,0.0,0.9502847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039579,0.0,0.0,0.0,0.0,0.0,0.64297,0.0,0.0,0.0,0.0,0.0,0.0,0.0213675,0.0,0.0,0.0,0.4249084,0.0,0.0,0.0,0.1411089,0.0,0.0162608
0.0,0.0,0.0,0.0,0.0,0.9947917,0.0,0.0,0.0,0.0,0.0,0.0,0.4108456,0.0,0.0,0.0,0.0,0.3515625,0.0,0.0,0.0,0.0134197,0.0,0.0,0.0127841,0.0,0.0,0.0158466,0.4073529,0.6714084,0.0149171,0.009375,0.0,0.0,0.0,0.0,0.0,0.4635417,0.0082204,0.0208333,0.876807,0.0183662,0.0,0.0308894,0.0,0.0,0.0,0.0355903,0.2206689,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.9478076,0.9502847,0.0,0.9939759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6212659,0.0,0.0,0.0,0.0,0.0,0.0,0.0109486,0.0,0.0,0.0,0.3878371,0.0,0.0,0.0,0.1006298,0.0,0.0165256
0.1768881,0.6512039,0.1785019,0.0,0.0,0.0,0.0,0.9957806,0.0512077,0.0,0.0,0.2206004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12567,0.0,0.0,0.0,0.1451805,0.0,0.0,0.2611212,0.0,0.0,0.0,0.0417844,0.0,0.0,0.0444615,0.2506773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0605485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4629163,0.7092056,0.7883963,0.0,0.0,0.0,0.0,0.0512077,0.996904,0.0,0.0,0.3743316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4660419,0.0,0.0,0.0,0.1868331,0.0,0.0,0.1135781,0.0,0.0,0.0,0.4033485,0.0,0.0,0.7963094,0.0817337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0109819,0.1154799,0.0,0.0,0.0,0.0,0.0,0.0,0.0753075
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9947917,0.9741194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.937163,0.0,0.0,0.6307245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2312146,0.0,0.0,0.0,0.0,0.0,0.0,0.0092708,0.0,0.0,0.0,0.0,0.0105407,0.0,0.0,0.3277083,0.0,0.0,0.0157621,0.5881696,0.0,0.0,0.0161177
