苹果,终止,紧急状态,总理,轨道,顺利,被骗,预定,美国,宣布,运载火箭,祝贺,载人,立案查处,锁定,北京,营销,维克拉马辛哈,重申,长征三号,离境,西昌卫星发射中心,银行行长,航天器,马尔代夫,禁止,飞船,卫星,总监,科技,设计师,联播,金额,违法,5亿,首席,议长,诈骗,签订,快递,第一时间,天链,规范,绩效
0.9958333,0.9451577,0.0,0.0,0.0,0.0,0.0,0.0,0.0152412,0.007568,0.0,0.0,0.0,0.0,0.0,0.0,0.0997024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01875,0.0,0.0,0.8753119,0.0772989,0.5150463,0.0,0.0,0.0,0.0,0.4195833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9451577,0.9954955,0.0,0.0,0.0,0.0,0.0,0.0,0.0154101,0.0079059,0.0,0.0,0.0,0.0,0.0,0.0,0.0804376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.906393,0.0584809,0.4777277,0.0,0.0,0.0,0.0,0.4005405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9952607,0.5186342,0.0,0.007578,0.0,0.0,0.1086929,0.8344214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2891962,0.0,0.0,0.4943027,0.0,0.0,0.0,0.47477,0.0,0.0,0.0129361,0.0050435,0.0,0.0,0.0,0.0,0.023203,0.0,0.0223697,0.3802844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.5186342,0.9909091,0.0,0.0,0.0,0.0,0.0177033,0.6308596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7079777,0.0,0.0,0.4858801,0.0,0.0,0.0,0.3874332,0.0,0.0,0.0172876,0.0072193,0.0,0.0,0.0,0.0,0.0,0.0,0.0245455,0.4172727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9907407,0.9149306,0.0,0.929922,0.0,0.0,0.9674628,0.7101637,0.9292721,0.0,0.0,0.0857843,0.0,0.0,0.0,0.9720475,0.0,0.967328,0.0,0.897096,0.0,0.0,0.9486532,0.925167,0.0,0.065613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8139115,0.0,0.0
0.0,0.0,0.007578,0.0,0.9149306,0.9895833,0.0125613,0.9738487,0.0183662,0.006909,0.9189544,0.7495155,0.8736592,0.0,0.0,0.1011029,0.0,0.0,0.0,0.9230542,0.0,0.9172619,0.0127841,0.8385417,0.0150123,0.0,0.8822601,0.8655225,0.0,0.0673491,0.0,0.0,0.0237269,0.0260417,0.0,0.0,0.0,0.0260417,0.0,0.0,0.0,0.7596545,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0125613,0.9852941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122549,0.0,0.0,0.0,0.0,0.0,0.0,0.9703654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5950436,0.1973039,0.0,0.0,0.0,0.5919118,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.929922,0.9738487,0.0,0.9894737,0.0,0.0,0.9339892,0.7532436,0.8783742,0.0,0.0,0.0914861,0.0,0.0,0.0,0.9381331,0.0,0.9323308,0.0,0.8427632,0.0,0.0,0.8972887,0.8799827,0.0,0.0675136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7730103,0.0,0.0
0.0152412,0.0154101,0.1086929,0.0177033,0.0,0.0183662,0.0,0.0,0.9736842,0.1188686,0.0,0.0,0.0,0.0,0.0235746,0.0180599,0.0,0.023362,0.0,0.0,0.0475924,0.0,0.0,0.0,0.1148091,0.0,0.0,0.0,0.0158317,0.0303993,0.0,0.0,0.0,0.0,0.0,0.0663158,0.0331579,0.0,0.0,0.0,0.0789474,0.0,0.0,0.0
0.007568,0.0079059,0.8344214,0.6308596,0.0,0.006909,0.0,0.0,0.1188686,0.9965986,0.0,0.0,0.0,0.0,0.0121173,0.0,0.0,0.547619,0.0,0.0,0.4935591,0.0,0.0,0.0,0.4831933,0.0,0.0,0.0231962,0.008749,0.0,0.0,0.0,0.0,0.022534,0.0,0.065102,0.4991156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9674628,0.9189544,0.0,0.9339892,0.0,0.0,0.9906542,0.7235927,0.9238457,0.0,0.0,0.0861737,0.0,0.0,0.0,0.9859372,0.0,0.9812194,0.0,0.8801508,0.0,0.0,0.94317,0.9209821,0.0,0.0657428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8107762,0.0,0.0
0.0,0.0,0.0,0.0,0.7101637,0.7495155,0.0,0.7532436,0.0,0.0,0.7235927,0.9883721,0.7104536,0.0,0.0,0.0107159,0.0,0.0,0.0,0.7161036,0.0,0.7191584,0.0,0.7587209,0.0,0.0,0.7170543,0.6740374,0.0,0.0230553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7533324,0.0,0.0
0.0,0.0,0.0,0.0,0.9292721,0.8736592,0.0,0.8783742,0.0,0.0,0.9238457,0.7104536,0.990099,0.0,0.0,0.0788196,0.0,0.0,0.0,0.9280777,0.0,0.9323904,0.0,0.9143789,0.0,0.0,0.970097,0.8958367,0.0,0.0443837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7919283,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9857143,0.0,0.8310924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2682266,0.0,0.0,0.0,0.3077381,0.0,0.0,0.0,0.0,0.0,0.9468045,0.0,0.0,0.0527473,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0235746,0.0121173,0.0,0.0,0.0,0.0,0.9791667,0.0,0.0,0.0,0.8929924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0553161,0.0,0.54375,0.0,0.0,0.0,0.0304167,0.0,0.0,0.0,0.0,0.0367325,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0857843,0.1011029,0.0122549,0.0914861,0.0180599,0.0,0.0861737,0.0107159,0.0788196,0.8310924,0.0,0.9901961,0.0,0.0,0.0,0.0865705,0.0,0.0869748,0.0124777,0.0740865,0.0,0.0,0.0796197,0.0810029,0.0,0.3100068,0.0,0.0,0.0234205,0.3088235,0.0,0.0,0.0,0.0257353,0.0,0.8610681,0.0,0.0715567,0.0482655,0.0
0.0997024,0.0804376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6904762,0.0,0.0,0.1026547,0.0350985,0.0363757,0.0,0.0363757,0.0386905,0.0,0.0757143,0.0,0.0,0.0297619,0.0,0.0,0.0,0.6675824,0.0
0.0,0.0,0.2891962,0.7079777,0.0,0.0,0.0,0.0,0.023362,0.547619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9795918,0.0,0.0,0.2292662,0.0,0.0,0.0,0.140056,0.0,0.0,0.0286049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0302041,0.2416327,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8929924,0.0,0.0,0.0,0.9772727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05721,0.0,0.5522727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9720475,0.9230542,0.0,0.9381331,0.0,0.0,0.9859372,0.7161036,0.9280777,0.0,0.0,0.0865705,0.0,0.0,0.0,0.990566,0.0,0.9858041,0.0,0.8838979,0.0,0.0,0.9474462,0.9256109,0.0,0.0658751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8076392,0.0,0.0
0.0,0.0,0.4943027,0.4858801,0.0,0.0,0.0,0.0,0.0475924,0.4935591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2292662,0.0,0.0,0.9787234,0.0,0.0,0.0,0.7154777,0.0,0.0,0.0147367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0306383,0.2144681,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.967328,0.9172619,0.0,0.9323308,0.0,0.0,0.9812194,0.7191584,0.9323904,0.0,0.0,0.0869748,0.0,0.0,0.0,0.9858041,0.0,0.9904762,0.0,0.8877165,0.0,0.0,0.9518038,0.9214676,0.0,0.0660099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045006,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0127841,0.9703654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0124777,0.0,0.0,0.0,0.0,0.0,0.0,0.9848485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6001684,0.1988636,0.0,0.0,0.0,0.5681818,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.897096,0.8385417,0.0,0.8427632,0.0,0.0,0.8801508,0.7587209,0.9143789,0.0,0.0,0.0740865,0.0,0.0,0.0,0.8838979,0.0,0.8877165,0.0,0.9886364,0.0,0.0,0.9229798,0.8410954,0.0,0.0458464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7595621,0.0,0.0
0.0,0.0,0.47477,0.3874332,0.0,0.0150123,0.0,0.0,0.1148091,0.4831933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140056,0.0,0.0,0.7154777,0.0,0.0,0.0,0.9803922,0.0,0.0,0.0139023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0298039,0.1490196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666667,0.0,0.0,0.0193405,0.033908,0.0,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6461538,0.0
0.0,0.0,0.0,0.0,0.9486532,0.8822601,0.0,0.8972887,0.0,0.0,0.94317,0.7170543,0.970097,0.0,0.0,0.0796197,0.0,0.0,0.0,0.9474462,0.0,0.9518038,0.0,0.9229798,0.0,0.0,0.989899,0.8965888,0.0,0.0445838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79373,0.0,0.0
0.0,0.0,0.0129361,0.0172876,0.925167,0.8655225,0.0,0.8799827,0.0,0.0231962,0.9209821,0.6740374,0.8958367,0.0,0.0,0.0810029,0.0,0.0286049,0.0,0.9256109,0.0147367,0.9214676,0.0,0.8410954,0.0139023,0.0,0.8965888,0.9918033,0.0,0.0640192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8219212,0.0,0.0
0.8753119,0.906393,0.0050435,0.0072193,0.0,0.0,0.0,0.0,0.0158317,0.008749,0.0,0.0,0.0,0.0,0.0,0.0,0.1026547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0193405,0.0,0.0,0.9946524,0.0398304,0.4450386,0.0,0.0,0.0,0.0,0.4081283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0772989,0.0584809,0.0,0.0,0.065613,0.0673491,0.0,0.0675136,0.0303993,0.0,0.0657428,0.0230553,0.0443837,0.2682266,0.0553161,0.3100068,0.0350985,0.0,0.05721,0.0658751,0.0,0.0660099,0.0,0.0458464,0.0,0.033908,0.0445838,0.0640192,0.0398304,0.9655172,0.0,0.0,0.0,0.4568966,0.0,0.0,0.0,0.0,0.0,0.2620236,0.0,0.1014508,0.0,0.0
0.5150463,0.4777277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0363757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4450386,0.0,0.962963,0.0,0.0,0.0,0.0,0.1540741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54375,0.0,0.0,0.0,0.5522727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0237269,0.5950436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0234205,0.0363757,0.0,0.0,0.0,0.0,0.0,0.6001684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.962963,0.1574074,0.0,0.0385185,0.0,0.6689815,0.0304233,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.023203,0.0,0.0,0.0260417,0.1973039,0.0,0.0,0.022534,0.0,0.0,0.0,0.3077381,0.0,0.3088235,0.0386905,0.0,0.0,0.0,0.0,0.0,0.1988636,0.0,0.0,0.0375,0.0,0.0,0.0,0.4568966,0.0,0.0,0.1574074,0.9583333,0.0,0.0,0.0,0.0416667,0.0,0.3015351,0.0,0.0,0.0400641,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4195833,0.4005405,0.0223697,0.0245455,0.0,0.0,0.0,0.0,0.0663158,0.065102,0.0,0.0,0.0,0.0,0.0304167,0.0,0.0757143,0.0302041,0.0,0.0,0.0306383,0.0,0.0,0.0,0.0298039,0.0,0.0,0.0,0.4081283,0.0,0.1540741,0.0,0.0385185,0.0,0.0,0.96,0.04,0.0,0.0319048,0.0,0.0463158,0.0,0.0,0.0
