公司,女孩,唐山,周杰伦,新专辑,两人,集团,男子,豆瓣,3亿,美元,旅游,10亿,离婚,世茂,违约,开分,小树林,袁冰妍,2人,养父,演员,台风,董卿,66万,美图,强制执行,买房车,被害,报恩,警方,冲卡,偷漏税
0.9981096,0.0031382,0.0,0.0,0.0,0.0,0.1639579,0.0072958,0.0,0.3369984,0.1546668,0.0078075,0.1486761,0.0,0.1486761,0.1598929,0.0,0.0,0.6283694,0.0,0.0032708,0.5711651,0.0169865,0.7056771,0.0032708,0.3049625,0.6490215,0.0032708,0.0,0.0035093,0.0,0.0,0.6093852
0.0031382,0.995614,0.008715,0.0,0.0,0.0089731,0.0,0.0195827,0.0,0.0,0.0,0.8551593,0.0,0.0105588,0.0,0.0,0.0,0.0043764,0.0,0.0,0.9669727,0.0,0.0,0.0,0.9669727,0.0,0.0,0.9669727,0.0050665,0.9228745,0.0,0.011379,0.0
0.0,0.008715,0.995671,0.0,0.0,0.9540292,0.0,0.0340704,0.0,0.0,0.0,0.0051231,0.0,0.0,0.0,0.0,0.0,0.9913231,0.00481,0.2635046,0.0044901,0.0,0.0,0.0,0.0044901,0.0,0.0,0.0044901,0.8715853,0.0047286,0.5248918,0.0,0.0
0.0,0.0,0.0,0.9960317,0.9920476,0.0,0.0,0.0,0.9880632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9541847,0.0,0.0,0.0,0.0,0.0060492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.9920476,0.996,0.0,0.0,0.0,0.9919839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9578355,0.0,0.0,0.0,0.0,0.006065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0089731,0.9540292,0.0,0.0,0.9954128,0.0,0.0449665,0.0,0.0,0.0,0.0,0.0,0.01076,0.0,0.0,0.0,0.9580746,0.0049391,0.1621792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8525783,0.0,0.3931957,0.0115802,0.0
0.1639579,0.0,0.0,0.0,0.0,0.0,0.9940828,0.0,0.0,0.042862,0.9429549,0.0059172,0.9522105,0.0,0.9583537,0.9017023,0.0,0.0,0.0,0.0,0.0,0.0,0.0076756,0.0261051,0.0,0.0,0.0412983,0.0,0.0,0.0,0.0,0.0,0.0
0.0072958,0.0195827,0.0340704,0.0,0.0,0.0449665,0.0,0.9945946,0.0,0.0,0.0,0.0,0.0,0.9262596,0.0,0.0,0.0,0.0293167,0.0,0.3979632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0223051,0.0,0.0662162,0.8802873,0.0
0.0,0.0,0.0,0.9880632,0.9919839,0.0,0.0,0.0,0.9959677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9615452,0.0,0.0,0.0,0.0,0.0060812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3369984,0.0,0.0,0.0,0.0,0.0,0.042862,0.0,0.0,0.9936709,0.0628956,0.0,0.0507942,0.0,0.0444449,0.0407265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9348062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1546668,0.0,0.0,0.0,0.0,0.0,0.9429549,0.0,0.0,0.0628956,0.99375,0.0,0.9780056,0.0,0.9780056,0.9245018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0185775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0078075,0.8551593,0.0051231,0.0,0.0,0.0,0.0059172,0.0,0.0,0.0,0.0,0.9940828,0.0,0.0,0.0,0.0,0.0,0.0,0.0056041,0.0,0.8771708,0.0,0.0,0.0,0.8771708,0.0,0.0,0.8771708,0.0,0.9167653,0.0,0.0,0.0061032
0.1486761,0.0,0.0,0.0,0.0,0.0,0.9522105,0.0,0.0,0.0507942,0.9780056,0.0,0.9936306,0.0,0.9872611,0.9326825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0105588,0.0,0.0,0.0,0.01076,0.0,0.9262596,0.0,0.0,0.0,0.0,0.0,0.9938272,0.0,0.0,0.0,0.0,0.0,0.4133119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114198,0.9347751,0.0
0.1486761,0.0,0.0,0.0,0.0,0.0,0.9583537,0.0,0.0,0.0444449,0.9780056,0.0,0.9872611,0.0,0.9936306,0.9326825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1598929,0.0,0.0,0.0,0.0,0.0,0.9017023,0.0,0.0,0.0407265,0.9245018,0.0,0.9326825,0.0,0.9326825,0.9927536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.9541847,0.9578355,0.0,0.0,0.0,0.9615452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995671,0.0,0.0,0.0,0.0,0.0062295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
