周杰伦,华为,最伟大的作品,涉嫌,破产,违法犯罪,街道,云南,致歉,孩子,印度,清算,新专辑,陈春花,苏宁,企业,先行曲,易购,传言,立案,经营,罗崇敏,失去,教育厅,盖章,教授,厅长,调剂,转绿码,维护,法律责任,业务,形象,新歌,冰淇淋,核酸,音乐
0.9974747,0.0,0.9050177,0.0035354,0.0,0.0,0.0,0.0,0.0,0.0031494,0.0,0.0,0.7053213,0.0,0.0,0.0,0.6577402,0.0,0.0,0.0053949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038668,0.0,0.0,0.0,0.0,0.0116793,0.5503247,0.0,0.0,0.4955556
0.0,0.9952381,0.0,0.0046537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9832992,0.0,0.1277628,0.0,0.0,0.9155222,0.0,0.008405,0.0,0.0,0.0,0.0,0.6144689,0.0,0.0,0.0,0.0,0.0105777,0.0098436,0.0383929,0.0,0.0,0.0,0.0
0.9050177,0.0,0.996904,0.0038207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5244041,0.0,0.0,0.0,0.6454508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119647,0.4923983,0.0,0.0,0.4272755
0.0035354,0.0046537,0.0038207,0.9954545,0.0,0.9145288,0.0,0.9470487,0.0,0.0207976,0.0,0.0053591,0.0,0.0046651,0.0,0.0,0.0,0.0,0.0050352,0.0128099,0.0,0.958782,0.0,0.958782,0.0,0.009965,0.954021,0.0146307,0.0,0.0,0.0,0.0,0.0,0.0112013,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.994382,0.0,0.0,0.0,0.0,0.0,0.0,0.9432654,0.0,0.0,0.9556735,0.4440322,0.0,0.9745567,0.0111428,0.0,0.6713145,0.0,0.0,0.0,0.0163635,0.0,0.0,0.0,0.0,0.5503916,0.6053141,0.6471155,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.9145288,0.0,0.9947644,0.0,0.9226818,0.0,0.0090092,0.0,0.0057042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333223,0.0,0.9383673,0.0,0.0103101,0.9340264,0.0,0.0,0.0101936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.9945946,0.0,0.9481717,0.0137685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9787216,0.0,0.0,0.0106137,0.9918772,0.0,0.0,0.0,0.0131194,0.0,0.0,0.6147503,0.0
0.0,0.0,0.0,0.9470487,0.0,0.9226818,0.0,0.9952607,0.0,0.0085129,0.0,0.0054561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978558,0.0,0.978558,0.0,0.010062,0.9737969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.9481717,0.0,0.9941176,0.0144839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9385621,0.0,0.0,0.0110907,0.9506394,0.0,0.0,0.0,0.0133578,0.0,0.0,0.6278664,0.0
0.0031494,0.0,0.0,0.0207976,0.0,0.0090092,0.0137685,0.0085129,0.0144839,0.9962264,0.0068868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7222829,0.0,0.008628,0.0227058,0.008628,0.0135969,0.0,0.0085813,0.8443003,0.0138126,0.0,0.0100835,0.0,0.0123035,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068868,0.99,0.0,0.0,0.0,0.0,0.2137736,0.0,0.0,0.0,0.0091322,0.0440964,0.0,0.0106818,0.0,0.0,0.0,0.0,0.0076042,0.0,0.0628788,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0053591,0.9432654,0.0057042,0.0,0.0054561,0.0,0.0,0.0,0.9938272,0.0,0.0,0.9217203,0.4604007,0.0,0.9443017,0.0116977,0.0,0.6923992,0.0055136,0.0,0.0055136,0.0171958,0.0,0.0054903,0.0,0.0,0.5650954,0.6205728,0.6645937,0.0,0.0,0.0,0.0,0.0
