安倍,治疗,倒地,安倍晋三,重症,颈部,胸部,歌单,画面,中枪,身亡,生命
0.9990357,0.6091729,0.6098982,0.5378201,0.6364018,0.6135996,0.6236654,0.0,0.5274753,0.5751751,0.3999181,0.4867844
0.6091729,0.9960317,0.0154271,0.1444444,0.9130246,0.0675947,0.0791667,0.0,0.0181475,0.055474,0.0733666,0.2424242
0.6098982,0.0154271,0.9962547,0.3044506,0.010755,0.0193235,0.0841426,0.0,0.1246917,0.1953209,0.0621353,0.1075502
0.5378201,0.1444444,0.3044506,0.9974026,0.1475405,0.2369328,0.3084416,0.0,0.2842783,0.4477258,0.6729085,0.2746753
0.6364018,0.9130246,0.010755,0.1475405,0.9965753,0.0666785,0.0769569,0.0,0.0231095,0.0519406,0.0785282,0.2255085
0.6135996,0.0675947,0.0193235,0.2369328,0.0666785,0.9960159,0.9331033,0.0,0.0181712,0.1111536,0.1616673,0.0982585
0.6236654,0.0791667,0.0841426,0.3084416,0.0769569,0.9331033,0.9964286,0.0,0.0585075,0.203441,0.1595515,0.122619
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994709,0.0,0.0,0.0,0.0
0.5274753,0.0181475,0.1246917,0.2842783,0.0231095,0.0181712,0.0585075,0.0,0.9918699,0.7300368,0.1952165,0.1806171
0.5751751,0.055474,0.1953209,0.4477258,0.0519406,0.1111536,0.203441,0.0,0.7300368,0.9954338,0.2179834,0.2428394
0.3999181,0.0733666,0.0621353,0.6729085,0.0785282,0.1616673,0.1595515,0.0,0.1952165,0.2179834,0.994186,0.1272023
0.4867844,0.2424242,0.1075502,0.2746753,0.2255085,0.0982585,0.122619,0.0,0.1806171,0.2428394,0.1272023,0.9924242
