安倍,画面,日本,身亡,曝光,收购,2人,马斯克,枪击,终止,推特
0.998927,0.6609705,0.6756244,0.5897792,0.6163029,0.002895,0.6225901,0.0027686,0.690336,0.0055372,0.0028092
0.6609705,0.9969419,0.2351129,0.1826199,0.8247046,0.0,0.0105395,0.0,0.1110842,0.0,0.0
0.6756244,0.2351129,0.9975904,0.6736612,0.2385224,0.0,0.1403136,0.0,0.3937566,0.003437,0.0
0.5897792,0.1826199,0.6736612,0.9971671,0.1556202,0.0,0.06121,0.0,0.3091332,0.0036486,0.0
0.6163029,0.8247046,0.2385224,0.1556202,0.9955947,0.0,0.0209339,0.0,0.1232667,0.0,0.0
0.002895,0.0,0.0,0.0,0.0,0.995283,0.0,0.964033,0.0,0.964033,0.9586621
0.6225901,0.0105395,0.1403136,0.06121,0.0209339,0.0,0.9960317,0.0,0.8159369,0.0,0.0
0.0027686,0.0,0.0,0.0,0.0,0.964033,0.0,0.9955357,0.0,0.9866071,0.9820617
0.690336,0.1110842,0.3937566,0.3091332,0.1232667,0.0,0.8159369,0.0,0.9973615,0.0,0.0
0.0055372,0.0,0.003437,0.0036486,0.0,0.964033,0.0,0.9866071,0.0,0.9955357,0.9865666
0.0028092,0.0,0.0,0.0,0.0,0.9586621,0.0,0.9820617,0.0,0.9865666,0.9954545
