总统,学生,违规,安倍,嫌疑人,数据库,辞职,被封,永久,斯里兰卡,行程,刺杀,供述,宣布,生命,学校IP,前一晚,体征
0.996337,0.0,0.0,0.0275915,0.0078471,0.0,0.8409535,0.0,0.0,0.9598668,0.0103744,0.0194034,0.0042825,0.9500675,0.0123587,0.0,0.0050995,0.0160087
0.0,0.9965986,0.9313056,0.0,0.0,0.9295826,0.0,0.8179209,0.9297824,0.0,0.0,0.0,0.0,0.0,0.0,0.9005952,0.0,0.0
0.0,0.9313056,0.9961538,0.0,0.0,0.9903698,0.0,0.8601763,0.9903622,0.0,0.0,0.0,0.0,0.0,0.0,0.9575321,0.0,0.0
0.0275915,0.0,0.0,0.9981447,0.59186,0.0,0.0908312,0.0,0.0,0.0137291,0.6210855,0.5894112,0.5507157,0.0112294,0.5803017,0.0,0.6377339,0.5680387
0.0078471,0.0,0.0,0.59186,0.9958159,0.0,0.1096723,0.0,0.0,0.0,0.1035073,0.9359181,0.9086061,0.0,0.0128798,0.0,0.0160801,0.0165298
0.0,0.9295826,0.9903698,0.0,0.0,0.996139,0.0,0.861587,0.992263,0.0,0.0,0.0,0.0,0.0,0.0,0.9593066,0.0,0.0
0.8409535,0.0,0.0,0.0908312,0.1096723,0.0,0.9963504,0.0,0.0,0.8378898,0.0051805,0.1162199,0.1154465,0.8483343,0.0,0.0,0.0,0.0
0.0,0.8179209,0.8601763,0.0,0.0,0.861587,0.0,0.9947917,0.8598918,0.0,0.0,0.0,0.0,0.0,0.0,0.8484375,0.0,0.0
0.0,0.9297824,0.9903622,0.0,0.0,0.992263,0.0,0.8598918,0.9961089,0.0,0.0,0.0,0.0,0.0,0.0,0.9588684,0.0,0.0
0.9598668,0.0,0.0,0.0137291,0.0,0.0,0.8378898,0.0,0.0,0.9963636,0.0,0.0116021,0.0,0.9466576,0.006166,0.0,0.0,0.0
0.0103744,0.0,0.0,0.6210855,0.1035073,0.0,0.0051805,0.0,0.0,0.0,0.9932886,0.1026928,0.0464535,0.0,0.0077035,0.0,0.8478309,0.0095285
0.0194034,0.0,0.0,0.5894112,0.9359181,0.0,0.1162199,0.0,0.0,0.0116021,0.1026928,0.9959016,0.8910318,0.0117866,0.012794,0.0,0.0265858,0.008222
0.0042825,0.0,0.0,0.5507157,0.9086061,0.0,0.1154465,0.0,0.0,0.0,0.0464535,0.8910318,0.995098,0.0,0.0135976,0.0,0.0114379,0.0172476
0.9500675,0.0,0.0,0.0112294,0.0,0.0,0.8483343,0.0,0.0,0.9466576,0.0,0.0117866,0.0,0.9962406,0.0,0.0,0.0,0.0
0.0123587,0.0,0.0,0.5803017,0.0128798,0.0,0.0,0.0,0.0,0.006166,0.0077035,0.012794,0.0135976,0.0,0.9913043,0.0,0.0152316,0.8416532
0.0,0.9005952,0.9575321,0.0,0.0,0.9593066,0.0,0.8484375,0.9588684,0.0,0.0,0.0,0.0,0.0,0.0,0.9958333,0.0,0.0
0.0050995,0.0,0.0,0.6377339,0.0160801,0.0,0.0,0.0,0.0,0.0,0.8478309,0.0265858,0.0114379,0.0,0.0152316,0.0,0.9934641,0.0094408
0.0160087,0.0,0.0,0.5680387,0.0165298,0.0,0.0,0.0,0.0,0.0,0.0095285,0.008222,0.0172476,0.0,0.8416532,0.0,0.0094408,0.9876543
