下架,用户,删除,武汉大学,谭谈交通,电视台,霍乱病例,总统,宣布,一例,WPS,本地文件,德国,全面,广播,目标,节目,取消,霍乱,检测,传播,斯里兰卡,维权,环保,谭乔,武汉,总理,敏感,爆料,核实
0.9978355,0.0054113,0.0,0.0018861,0.9305907,0.6461484,0.0020626,0.0,0.0037996,0.0028428,0.0,0.0,0.0,0.5599567,0.6041667,0.0,0.5556019,0.0,0.0,0.0,0.238961,0.0,0.5241263,0.0203463,0.6237858,0.0164502,0.0,0.0,0.0074925,0.0
0.0054113,0.9967532,0.9837238,0.0,0.0025686,0.0039065,0.0,0.0,0.0,0.0,0.9772069,0.941182,0.0,0.0,0.0044643,0.0,0.0,0.0,0.0,0.3327922,0.0287157,0.0,0.0077209,0.0,0.0,0.0,0.0,0.6194453,0.5944888,0.5774892
0.0,0.9837238,0.996732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.980337,0.9475348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333,0.0359477,0.0,0.0077315,0.0,0.0,0.0,0.0,0.6203047,0.595274,0.5781046
0.0018861,0.0,0.0,0.9983923,0.0034981,0.0,0.9063993,0.0,0.0,0.723167,0.0,0.0,0.0,0.0135227,0.0,0.0,0.0,0.0,0.6264408,0.2738793,0.2480171,0.0,0.0,0.0,0.0,0.5085898,0.0,0.0,0.0,0.0
0.9305907,0.0025686,0.0,0.0034981,0.9981096,0.6908529,0.0038511,0.0,0.0036626,0.0027057,0.0,0.0,0.0,0.5811104,0.6625655,0.0,0.5587659,0.0,0.0070186,0.0058471,0.2405272,0.0,0.5352483,0.0200722,0.6430276,0.0161761,0.0,0.0,0.0073554,0.0
0.6461484,0.0039065,0.0,0.0,0.6908529,0.9954338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1017757,0.8967025,0.0,0.4259562,0.0,0.0,0.0,0.1410959,0.0,0.5363626,0.011374,0.2292711,0.009426,0.0,0.0,0.0086934,0.0
0.0020626,0.0,0.0,0.9063993,0.0038511,0.0,0.9980392,0.0,0.0,0.6359017,0.0,0.0,0.0,0.0140523,0.0,0.0,0.0,0.0,0.5848416,0.2647059,0.1895425,0.0,0.0,0.0,0.0,0.519888,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9942529,0.9280985,0.0,0.0,0.0,0.0,0.0065773,0.0,0.0086875,0.0,0.0,0.0,0.0,0.0084291,0.9567803,0.0,0.0,0.0,0.0,0.6964368,0.0,0.0,0.0
0.0037996,0.0,0.0,0.0,0.0036626,0.0,0.0,0.9280985,0.9945652,0.0,0.0,0.0,0.0085313,0.0064211,0.0,0.0085313,0.0,0.0085313,0.0,0.0,0.0,0.9420709,0.0,0.0118083,0.0,0.0,0.6850362,0.0,0.0,0.0
0.0028428,0.0,0.0,0.723167,0.0027057,0.0,0.6359017,0.0,0.0,0.9964789,0.0,0.0,0.0,0.0054643,0.0,0.0,0.0,0.0,0.4497653,0.2132008,0.1170579,0.0,0.0,0.0,0.0,0.2225855,0.0,0.0,0.0,0.0
