斯里兰卡,宣布,苹果,发射,卫星,终止,总统,总监,总理,轨道,北京,实施,地球,紧急状态,顺利,京东,快递,用户,被骗,预定,删除,美国,发布,天链,总部,祝贺,运载火箭,营销,合同,载人,拉贾帕克萨,关闭,禁止,抗议者,办公室,中继,大学,微信,审核
0.9965517,0.9315506,0.0,0.0139443,0.0174675,0.0,0.6676797,0.0043979,0.6833856,0.0,0.0066261,0.6140086,0.0067241,0.8596993,0.0069325,0.0,0.0,0.0067746,0.0,0.0,0.0,0.1339383,0.0083908,0.0047729,0.0,0.0,0.0,0.0,0.0096606,0.0,0.609995,0.0123624,0.0,0.5567704,0.523511,0.0,0.0,0.0209549,0.0
0.9315506,0.9965986,0.007568,0.0092493,0.0231962,0.0079059,0.6056728,0.008749,0.6308596,0.0,0.0,0.572449,0.0,0.8344214,0.006909,0.0,0.0,0.0135024,0.0,0.0,0.0066512,0.1188686,0.0083673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5099823,0.024678,0.0,0.5280405,0.4833797,0.0,0.0,0.0209314,0.0111346
0.0,0.007568,0.9958333,0.0,0.0,0.9451577,0.0,0.8753119,0.0,0.0,0.0,0.0,0.0070833,0.0,0.0,0.0083333,0.0,0.0142677,0.0,0.0,0.0070338,0.0152412,0.06125,0.0,0.0,0.0,0.0,0.0997024,0.2003968,0.0,0.0,0.0,0.01875,0.0,0.0,0.0,0.0,0.0426282,0.0115173
0.0139443,0.0092493,0.0,0.994152,0.8005464,0.0,0.0,0.0,0.0149389,0.8082359,0.0704334,0.0,0.7448538,0.0105873,0.7563048,0.0,0.0,0.0,0.0,0.7695906,0.0,0.0,0.0,0.9556411,0.0,0.7339861,0.8052686,0.0,0.0,0.7716982,0.0,0.0,0.0,0.0,0.0,0.7778346,0.0,0.0,0.0
0.0174675,0.0231962,0.0,0.8005464,0.9918033,0.0,0.0166713,0.0,0.0172876,0.925167,0.0810029,0.0206967,0.8552459,0.0129361,0.8655225,0.0,0.0,0.0,0.0,0.8799827,0.0,0.0,0.010765,0.8219212,0.0,0.6740374,0.9209821,0.0,0.0,0.8958367,0.0113447,0.0,0.0,0.0,0.0,0.9131784,0.0,0.0,0.0
0.0,0.0079059,0.9451577,0.0,0.0,0.9954955,0.0064895,0.906393,0.0,0.0,0.0,0.0,0.0072523,0.0,0.0,0.0,0.0,0.0073028,0.0,0.0,0.0,0.0154101,0.0267568,0.0,0.0,0.0,0.0,0.0804376,0.2037752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6676797,0.6056728,0.0,0.0,0.0166713,0.0064895,0.9915254,0.0,0.4742681,0.0,0.0,0.3251059,0.0,0.5021287,0.0094456,0.0,0.0,0.0,0.0,0.0,0.0,0.1391615,0.010904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7694056,0.0148756,0.0,0.1807565,0.5460324,0.0,0.0,0.0,0.0
0.0043979,0.008749,0.8753119,0.0,0.0,0.906393,0.0,0.9946524,0.0072193,0.0,0.0,0.0089238,0.0076738,0.0050435,0.0,0.0,0.0,0.0077243,0.0,0.0,0.0,0.0158317,0.0373619,0.0,0.0,0.0,0.0,0.1026547,0.2015958,0.0,0.0,0.0,0.0193405,0.0,0.0,0.0,0.0,0.0,0.0
0.6833856,0.6308596,0.0,0.0149389,0.0172876,0.0,0.4742681,0.0072193,0.9909091,0.0,0.0,0.7556818,0.0,0.5186342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0177033,0.0112121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5424242,0.0151838,0.0,0.2678492,0.5568182,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.8082359,0.925167,0.0,0.0,0.0,0.0,0.9907407,0.0857843,0.0,0.9051852,0.0,0.9149306,0.0,0.0,0.0,0.0,0.929922,0.0,0.0,0.0,0.8139115,0.0,0.7101637,0.9674628,0.0,0.0,0.9292721,0.0,0.0,0.0,0.0,0.0,0.9389159,0.0,0.0,0.0
0.0066261,0.0,0.0,0.0704334,0.0810029,0.0,0.0,0.0,0.0,0.0857843,0.9901961,0.0,0.0891176,0.0,0.1011029,0.847549,0.8610681,0.0,0.0122549,0.0914861,0.0,0.0180599,0.0,0.0715567,0.85466,0.0107159,0.0861737,0.0,0.0128385,0.0788196,0.0,0.0155403,0.0,0.0,0.0162656,0.0780506,0.0184155,0.0241327,0.0
0.6140086,0.572449,0.0,0.0,0.0206967,0.0,0.3251059,0.0089238,0.7556818,0.0,0.0,0.9875,0.0,0.4223637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0776316,0.0258333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3509058,0.0168883,0.0,0.0922256,0.19375,0.0,0.0,0.0,0.0
0.0067241,0.0,0.0070833,0.7448538,0.8552459,0.0072523,0.0,0.0076738,0.0,0.9051852,0.0891176,0.0,0.99,0.0,0.826875,0.0,0.0,0.0,0.0,0.8415789,0.0,0.0181579,0.0116667,0.7565854,0.0,0.6596512,0.8899065,0.0,0.0129365,0.9154455,0.0,0.0,0.0,0.0,0.0,0.9263107,0.0,0.0,0.0
