豆瓣,唐山,袁冰妍,公司,周杰伦,美图,养父,小树林,新专辑,开分,离婚,66万,董卿,世茂,买房车,女孩,强制执行,两人,被害,冲卡,10亿,报恩,偷漏税,炒币,违约,美元,集团,97万,浮亏,赶着,旅游,3亿,减值,净亏损
0.9959677,0.0,0.0,0.0,0.9880632,0.0,0.0,0.0,0.9919839,0.9615452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.995671,0.00481,0.0,0.0,0.0,0.0044901,0.9913231,0.0,0.0,0.0,0.0044901,0.0,0.0,0.0044901,0.008715,0.0,0.9540292,0.8715853,0.0,0.0,0.0047286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051231,0.0,0.0,0.0
0.0,0.00481,0.994709,0.6283694,0.0,0.0,0.0,0.0048289,0.0,0.0,0.0,0.0,0.0245397,0.0,0.0,0.0,0.0279334,0.0049391,0.0055191,0.0,0.0,0.0,0.9148448,0.0,0.0,0.0,0.0,0.9095137,0.0,0.0,0.0056041,0.0,0.0,0.0
0.0,0.0,0.6283694,0.9981096,0.0,0.3049625,0.0032708,0.0,0.0,0.0,0.0,0.0032708,0.7056771,0.1486761,0.0032708,0.0031382,0.6490215,0.0,0.0,0.0,0.1486761,0.0035093,0.6093852,0.3067375,0.1598929,0.1546668,0.1639579,0.6360035,0.2934353,0.0,0.0078075,0.3369984,0.5397154,0.5254608
0.9880632,0.0,0.0,0.0,0.9960317,0.0,0.0,0.0,0.9920476,0.9541847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.3049625,0.0,0.993865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062522,0.0,0.0,0.9815179,0.0,0.0185775,0.0,0.0,0.9660784,0.0,0.0,0.9348062,0.6500752,0.685439
0.0,0.0044901,0.0,0.0032708,0.0,0.0,0.9953488,0.0,0.0,0.0,0.0,0.9953488,0.0,0.0,0.9953488,0.9669727,0.0,0.0,0.0,0.0,0.0,0.9485987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8771708,0.0,0.0,0.0
0.0,0.9913231,0.0048289,0.0,0.0,0.0,0.0,0.9956332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043764,0.0,0.9580746,0.8748557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9919839,0.0,0.0,0.0,0.9920476,0.0,0.0,0.0,0.996,0.9578355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9615452,0.0,0.0,0.0,0.9541847,0.0,0.0,0.0,0.9578355,0.995671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
