超生,全州,孩子,社会调剂,调剂,米老鼠,迪士尼,唐山,招聘,统一,抱走,茅台,周杰伦,小树林,女大学生,扎伤,被害案,宣判,市政府,一审,子女,上报,失去,全州县,最伟大的作品,版权,全县,版权保护,预约,蓝博,中同,开启,袁冰妍,中学校长,广西,检验,医学,藤县,批捕,南京
0.9986979,0.9392825,0.8669587,0.7289178,0.6782873,0.0,0.0,0.0244316,0.0,0.7027202,0.7244747,0.0,0.0,0.0025237,0.0027431,0.0060191,0.0027431,0.0029875,0.6066627,0.0027257,0.6745735,0.6647211,0.0032552,0.4643913,0.0,0.0,0.6297105,0.0,0.0,0.0042742,0.0042742,0.0,0.0,0.0,0.4834346,0.0042742,0.0041971,0.0,0.0046193,0.0026836
0.9392825,0.9985272,0.7844356,0.7424965,0.5068821,0.0,0.0,0.0227564,0.0,0.722555,0.6975839,0.0,0.0,0.002609,0.0028284,0.0061897,0.0028284,0.0030728,0.6213828,0.0028111,0.6908726,0.686567,0.0,0.3779986,0.0,0.0,0.6310968,0.0,0.0,0.0043596,0.0043596,0.0,0.0,0.0,0.2471465,0.0043596,0.0042825,0.0,0.0047046,0.0027689
0.8669587,0.7844356,0.9984026,0.7730523,0.6830058,0.0,0.0,0.0259084,0.0,0.7580613,0.4001552,0.0,0.0028648,0.0053428,0.0057815,0.0094716,0.0057815,0.0062703,0.2538178,0.0057468,0.2847712,0.244238,0.0034029,0.4633129,0.0031461,0.0,0.6564399,0.0,0.0037927,0.0044219,0.0044219,0.0031684,0.0,0.0,0.5012794,0.0044219,0.0043448,0.0,0.004767,0.0056625
0.7289178,0.7424965,0.7730523,0.9972299,0.3035423,0.0,0.0,0.0254172,0.0,0.8246235,0.3273315,0.0,0.0,0.0032577,0.0034771,0.0074871,0.0034771,0.0037215,0.1856704,0.0034597,0.236387,0.1831812,0.0,0.3991854,0.0,0.0,0.69432,0.0,0.0,0.0050082,0.0050082,0.0,0.0,0.010157,0.2774892,0.0050082,0.0049311,0.0,0.0053533,0.0034176
0.6782873,0.5068821,0.6830058,0.3035423,0.9965753,0.0,0.0,0.0070089,0.0,0.2757525,0.3023146,0.0,0.0,0.0,0.0,0.0040708,0.0,0.0,0.1675702,0.0,0.184393,0.1609456,0.0043165,0.2320351,0.0,0.0,0.1290626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4429858,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.9947644,0.9793798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9817299,0.0,0.0,0.9016198,0.0,0.7383818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.9793798,0.9948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9716346,0.0,0.0,0.8931891,0.0,0.7332805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0244316,0.0227564,0.0259084,0.0254172,0.0070089,0.0,0.0,0.9964158,0.0,0.0206655,0.0064578,0.0,0.0,0.9711651,0.0116525,0.8716271,0.0155367,0.0123857,0.0037226,0.0116004,0.0035589,0.0037376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054153,0.0054153,0.0,0.0,0.0,0.0082139,0.0054153,0.0160146,0.0,0.0057604,0.0114739
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9953704,0.0,0.0,0.9456019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7027202,0.722555,0.7580613,0.8246235,0.2757525,0.0,0.0,0.0206655,0.0,0.9976798,0.2596874,0.0,0.0,0.0030328,0.0032521,0.0070372,0.0032521,0.0034965,0.1823451,0.0032348,0.2253695,0.1801258,0.0,0.3670219,0.0,0.0,0.7330479,0.0,0.0,0.0047833,0.0047833,0.0,0.0,0.3972809,0.37529,0.0047833,0.0047062,0.4811863,0.0051283,0.0031926
0.7244747,0.6975839,0.4001552,0.3273315,0.3023146,0.0,0.0,0.0064578,0.0,0.2596874,0.9971264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7711079,0.0,0.8457414,0.8658706,0.0,0.3574664,0.0,0.0,0.2177147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2851213,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9456019,0.0,0.0,0.9958333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0028648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9958678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9356691,0.0,0.0,0.0,0.8298609,0.0,0.0,0.8960284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025237,0.002609,0.0053428,0.0032577,0.0,0.0,0.0,0.9711651,0.0,0.0030328,0.0,0.0,0.0,0.9962547,0.0,0.8885414,0.0039647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054958,0.0054958,0.0,0.0,0.0,0.0,0.0054958,0.0162563,0.0,0.0058409,0.0
0.0027431,0.0028284,0.0057815,0.0034771,0.0,0.0,0.0,0.0116525,0.0,0.0032521,0.0,0.0,0.0,0.0,0.9958159,0.0,0.9916318,0.9344132,0.0,0.9875171,0.0077177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9816478
