约翰逊,余秀华,辞职,女大学生,家暴,南京,被家暴,英国首相,死刑,侵权,洪峤,一审,马斯克,被判,宣判,七七事变,妇联,英国,双胞胎,刘翔,局长,被告人,冰淇淋,被害案,女高管,新东方,遇害案,生下,洪某,印度,85周年,茅台,我不是药神,4岁男童,被压,驾车,判罚,炒至,鲍里斯,身亡,搜查,留任,男友,获赔,突击,曹泽青,张晨光
0.9984686,0.0,0.9238145,0.0,0.0,0.0,0.0,0.7263978,0.0,0.0,0.0,0.0049328,0.0,0.0,0.0,0.0,0.0,0.6428231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6243545,0.0,0.0,0.5941332,0.0,0.0,0.0,0.0,0.0
0.0,0.9985755,0.0,0.0038755,0.725641,0.0038635,0.7339975,0.0,0.0021785,0.0,0.0,0.0024129,0.0,0.0024484,0.0058888,0.0,0.6575666,0.0,0.0,0.0,0.0,0.0,0.0,0.0030597,0.0,0.0,0.0029052,0.002673,0.0028674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032503,0.0,0.0,0.222135,0.0,0.0,0.0,0.0
0.9238145,0.0,0.9982143,0.0,0.0,0.0,0.0,0.6626064,0.0,0.0,0.0,0.0051871,0.0,0.0,0.0,0.0,0.0,0.6290219,0.0,0.0,0.0030296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003497,0.0,0.0,0.0,0.0030763,0.0030858,0.0030668,0.0,0.0,0.6041736,0.0034309,0.0,0.5579527,0.0,0.0,0.0,0.0,0.0
0.0,0.0038755,0.0,0.997549,0.0023883,0.995116,0.0,0.0,0.9125086,0.0,0.7252674,0.6759454,0.0,0.8292484,0.7675945,0.0032335,0.0,0.0,0.0,0.0,0.0,0.6991938,0.0,0.7574565,0.0,0.0,0.7759933,0.0,0.7809331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0080065,0.0,0.0,0.0188178,0.0,0.0,0.4210434,0.0,0.0,0.6592589,0.660512
0.0,0.725641,0.0,0.0023883,0.9976744,0.0023823,0.3569163,0.0,0.0026291,0.0,0.0,0.0,0.0,0.0028989,0.0,0.0,0.331099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033558,0.0031236,0.003318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1780019,0.0,0.0,0.0,0.0
0.0,0.0038635,0.0,0.995116,0.0023823,0.997561,0.0,0.0,0.9104821,0.0,0.7241555,0.6745645,0.00315,0.8275745,0.7662674,0.0032275,0.0,0.0,0.003556,0.0,0.0,0.6982075,0.0032275,0.7561892,0.003188,0.0,0.7746363,0.0031803,0.7795521,0.0,0.0,0.0036585,0.0,0.0,0.0,0.0,0.0079946,0.004287,0.0,0.0187879,0.0,0.0,0.4204994,0.0,0.0,0.6584638,0.6597109
0.0,0.7339975,0.0,0.0,0.3569163,0.0,0.9974026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7073084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1739023,0.0,0.0,0.0,0.0
0.7263978,0.0,0.6626064,0.0,0.0,0.0,0.0,0.9966887,0.0,0.0,0.0,0.0033563,0.0,0.0,0.0,0.0,0.0,0.527564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5931388,0.0,0.0,0.4757174,0.0,0.0,0.0,0.0,0.0
0.0,0.0021785,0.0,0.9125086,0.0026291,0.9104821,0.0,0.0,0.9970674,0.0,0.6955322,0.5922208,0.0,0.8326206,0.6842074,0.0,0.0,0.0,0.0,0.0,0.003603,0.6627919,0.0,0.6521416,0.0,0.0,0.7355109,0.0,0.7387754,0.0,0.0,0.0,0.0,0.0036497,0.0036593,0.0036402,0.0084881,0.0,0.0,0.0200217,0.0,0.0,0.3991462,0.0,0.0,0.6341095,0.6359075
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9972973,0.0,0.1739658,0.0032819,0.0154373,0.0,0.0,0.0,0.0,0.0036878,0.6968808,0.0034881,0.0,0.0,0.0,0.0033199,0.6908259,0.0,0.0033121,0.0,0.1186655,0.0,0.0,0.7827766,0.0035348,0.0035443,0.0035253,0.7308559,0.0,0.0,0.0038894,0.0,0.0,0.0,0.6767474,0.0,0.0,0.0
