安倍,安倍晋三,周杰伦,最伟大的作品,演讲时,倒地,监护室,流血,重症,余秀华,胸部,约翰逊,中枪,颈部,中弹,枪击,歌单,治疗,辞职,前首相,身亡
0.9990357,0.5378201,0.0021323,0.0,0.6415766,0.6098982,0.6364018,0.6337139,0.6364018,0.0,0.6236654,0.0795733,0.5751751,0.6135996,0.6020731,0.4841989,0.0,0.6091729,0.1320397,0.4488244,0.3999181
0.5378201,0.9974026,0.0029489,0.0,0.3138806,0.3044506,0.1475405,0.2027356,0.1475405,0.0,0.3084416,0.0623377,0.4477258,0.2369328,0.2407781,0.6690909,0.0,0.1444444,0.1081014,0.6606972,0.6729085
0.0021323,0.0029489,0.9966997,0.9718612,0.0,0.0,0.0,0.0,0.0,0.0,0.0034359,0.0,0.0,0.0036422,0.0038923,0.0,0.8075855,0.0,0.0,0.0,0.0
0.0,0.0,0.9718612,0.9965278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8149802,0.0,0.0,0.0,0.0
0.6415766,0.3138806,0.0,0.0,0.9969419,0.8062055,0.0194483,0.9179843,0.0194483,0.0,0.0961282,0.0050256,0.2477902,0.0211265,0.0226272,0.2412407,0.0,0.0245923,0.0197217,0.2650189,0.0443603
0.6098982,0.3044506,0.0,0.0,0.8062055,0.9962547,0.010755,0.8312216,0.010755,0.0,0.0841426,0.0214767,0.1953209,0.0193235,0.0205741,0.2648689,0.0,0.0154271,0.0316441,0.1909989,0.0621353
0.6364018,0.1475405,0.0,0.0,0.0194483,0.010755,0.9965753,0.0034854,0.9965753,0.0,0.0769569,0.0052088,0.0519406,0.0666785,0.0711807,0.08682,0.0,0.9130246,0.0102274,0.1050379,0.0785282
0.6337139,0.2027356,0.0,0.0,0.9179843,0.8312216,0.0034854,0.9964539,0.0034854,0.0,0.0427052,0.0,0.1176285,0.0075302,0.0080304,0.1620567,0.0,0.0,0.0155232,0.0911254,0.00468
0.6364018,0.1475405,0.0,0.0,0.0194483,0.010755,0.9965753,0.0034854,0.9965753,0.0,0.0769569,0.0052088,0.0519406,0.0666785,0.0711807,0.08682,0.0,0.9130246,0.0102274,0.1050379,0.0785282
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9945355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6236654,0.3084416,0.0034359,0.0,0.0961282,0.0841426,0.0769569,0.0427052,0.0769569,0.0,0.9964286,0.0105644,0.203441,0.9331033,0.8821028,0.2182143,0.0,0.0791667,0.0051871,0.2486842,0.1595515
0.0795733,0.0623377,0.0,0.0,0.0050256,0.0214767,0.0052088,0.0,0.0052088,0.0,0.0105644,0.993007,0.0115592,0.0109771,0.0114773,0.0444755,0.0,0.0054806,0.8898245,0.0271439,0.0384209
0.5751751,0.4477258,0.0,0.0,0.2477902,0.1953209,0.0519406,0.1176285,0.0519406,0.0,0.203441,0.0115592,0.9954338,0.1111536,0.0995557,0.2570124,0.0,0.055474,0.0113689,0.317637,0.2179834
0.6135996,0.2369328,0.0036422,0.0,0.0211265,0.0193235,0.0666785,0.0075302,0.0666785,0.0,0.9331033,0.0109771,0.1111536,0.9960159,0.9230522,0.1648719,0.0,0.0675947,0.0053934,0.1320376,0.1616673
0.6020731,0.2407781,0.0038923,0.0,0.0226272,0.0205741,0.0711807,0.0080304,0.0711807,0.0,0.8821028,0.0114773,0.0995557,0.9230522,0.9955157,0.1580782,0.0,0.0718468,0.011287,0.1216958,0.1493247
0.4841989,0.6690909,0.0,0.0,0.2412407,0.2648689,0.08682,0.1620567,0.08682,0.0,0.2182143,0.0444755,0.2570124,0.1648719,0.1580782,0.9942857,0.0,0.0871429,0.0563265,0.6146617,0.3285548
0.0,0.0,0.8075855,0.8149802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994709,0.0,0.0,0.0,0.0
0.6091729,0.1444444,0.0,0.0,0.0245923,0.0154271,0.9130246,0.0,0.9130246,0.0,0.0791667,0.0054806,0.055474,0.0675947,0.0718468,0.0871429,0.0,0.9960317,0.010771,0.1160192,0.0733666
0.1320397,0.1081014,0.0,0.0,0.0197217,0.0316441,0.0102274,0.0155232,0.0102274,0.0,0.0051871,0.8898245,0.0113689,0.0053934,0.011287,0.0563265,0.0,0.010771,0.9931973,0.0334542,0.0441584
0.4488244,0.6606972,0.0,0.0,0.2650189,0.1909989,0.1050379,0.0911254,0.1050379,0.0,0.2486842,0.0271439,0.317637,0.1320376,0.1216958,0.6146617,0.0,0.1160192,0.0334542,0.9934211,0.3593941
0.3999181,0.6729085,0.0,0.0,0.0443603,0.0621353,0.0785282,0.00468,0.0785282,0.0,0.1595515,0.0384209,0.2179834,0.1616673,0.1493247,0.3285548,0.0,0.0733666,0.0441584,0.3593941,0.994186
