安倍,马斯克,安倍晋三,枪击,身亡,日本,收购,画面,终止,警备,遇袭,推特,曝光,2人,中枪,政坛,动荡,前首相
0.998927,0.0027686,0.5446109,0.690336,0.5897792,0.6756244,0.002895,0.6609705,0.0055372,0.6239543,0.6430048,0.0028092,0.6163029,0.6225901,0.5637019,0.5825313,0.5738049,0.5318962
0.0027686,0.9955357,0.0,0.0,0.0,0.0,0.964033,0.0,0.9866071,0.0,0.0,0.9820617,0.0,0.0,0.0,0.0052262,0.0,0.0
0.5446109,0.0,0.9970238,0.3958373,0.67385,0.5278112,0.0,0.2443889,0.0,0.1226291,0.1999868,0.0,0.2177536,0.1111111,0.3030303,0.2420338,0.2073276,0.6542208
0.690336,0.0,0.3958373,0.9973615,0.3091332,0.3937566,0.0,0.1110842,0.0,0.8079077,0.136064,0.0,0.1232667,0.8159369,0.2100367,0.1078318,0.0858157,0.5004997
0.5897792,0.0,0.67385,0.3091332,0.9971671,0.6736612,0.0,0.1826199,0.0036486,0.0530261,0.1500267,0.0,0.1556202,0.06121,0.2378224,0.6924395,0.7005177,0.5412482
0.6756244,0.0,0.5278112,0.3937566,0.6736612,0.9975904,0.0,0.2351129,0.003437,0.1761436,0.2378873,0.0,0.2385224,0.1403136,0.2225786,0.6886083,0.6700457,0.6340727
0.002895,0.964033,0.0,0.0,0.0,0.0,0.995283,0.0,0.964033,0.0,0.0,0.9586621,0.0,0.0,0.0,0.0053525,0.0,0.0
0.6609705,0.0,0.2443889,0.1110842,0.1826199,0.2351129,0.0,0.9969419,0.0,0.0109431,0.863762,0.0,0.8247046,0.0105395,0.4489257,0.0633229,0.0547506,0.1701418
0.0055372,0.9866071,0.0,0.0,0.0036486,0.003437,0.964033,0.0,0.9955357,0.0,0.0,0.9865666,0.0,0.0,0.0,0.0104523,0.0056804,0.0
0.6239543,0.0,0.1226291,0.8079077,0.0530261,0.1761436,0.0,0.0109431,0.0,0.9957627,0.0436003,0.0,0.0216064,0.9190207,0.080481,0.0204506,0.0111338,0.0885978
0.6430048,0.0,0.1999868,0.136064,0.1500267,0.2378873,0.0,0.863762,0.0,0.0436003,0.99631,0.0,0.8823902,0.0191457,0.1629367,0.0532293,0.0529329,0.1520882
0.0028092,0.9820617,0.0,0.0,0.0,0.0,0.9586621,0.0,0.9865666,0.0,0.0,0.9954545,0.0,0.0,0.0,0.0052667,0.0,0.0
0.6163029,0.0,0.2177536,0.1232667,0.1556202,0.2385224,0.0,0.8247046,0.0,0.0216064,0.8823902,0.0,0.9955947,0.0209339,0.1852795,0.0571632,0.0565092,0.1557536
0.6225901,0.0,0.1111111,0.8159369,0.06121,0.1403136,0.0,0.0105395,0.0,0.9190207,0.0191457,0.0,0.0209339,0.9960317,0.0836941,0.0199126,0.0108648,0.0865801
0.5637019,0.0,0.3030303,0.2100367,0.2378224,0.2225786,0.0,0.4489257,0.0,0.080481,0.1629367,0.0,0.1852795,0.0836941,0.9935065,0.0436854,0.0133901,0.2321429
0.5825313,0.0052262,0.2420338,0.1078318,0.6924395,0.6886083,0.0053525,0.0633229,0.0104523,0.0204506,0.0532293,0.0052667,0.0571632,0.0199126,0.0436854,0.994012,0.9276894,0.1763292
0.5738049,0.0,0.2073276,0.0858157,0.7005177,0.6700457,0.0,0.0547506,0.0056804,0.0111338,0.0529329,0.0,0.0565092,0.0108648,0.0133901,0.9276894,0.9931034,0.1519592
0.5318962,0.0,0.6542208,0.5004997,0.5412482,0.6340727,0.0,0.1701418,0.0,0.0885978,0.1520882,0.0,0.1557536,0.0865801,0.2321429,0.1763292,0.1519592,0.9924242
