安倍,斯里兰卡,数据库,辞职,总统,嫌疑人,违规,学校IP,永久,刺杀,被封,安倍晋三,供述,学生,武汉大学,行程,前一晚,霍乱病例,霍乱,体征
0.9981447,0.0137291,0.0,0.0908312,0.0275915,0.59186,0.0,0.0,0.0,0.5894112,0.0,0.6148605,0.5507157,0.0,0.0,0.6210855,0.6377339,0.0,0.0,0.5680387
0.0137291,0.9963636,0.0,0.8378898,0.9598668,0.0,0.0,0.0,0.0,0.0116021,0.0,0.0045504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.996139,0.0,0.0,0.0,0.9903698,0.9593066,0.992263,0.0,0.861587,0.0,0.0,0.9295826,0.0,0.0,0.0,0.0,0.0,0.0
0.0908312,0.8378898,0.0,0.9963504,0.8409535,0.1096723,0.0,0.0,0.0,0.1162199,0.0,0.1367117,0.1154465,0.0,0.0,0.0051805,0.0,0.0,0.0,0.0
0.0275915,0.9598668,0.0,0.8409535,0.996337,0.0078471,0.0,0.0,0.0,0.0194034,0.0,0.0136912,0.0042825,0.0,0.0,0.0103744,0.0050995,0.0,0.0,0.0160087
0.59186,0.0,0.0,0.1096723,0.0078471,0.9958159,0.0,0.0,0.0,0.9359181,0.0,0.414889,0.9086061,0.0,0.0,0.1035073,0.0160801,0.0,0.0,0.0165298
0.0,0.0,0.9903698,0.0,0.0,0.0,0.9961538,0.9575321,0.9903622,0.0,0.8601763,0.0,0.0,0.9313056,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9593066,0.0,0.0,0.0,0.9575321,0.9958333,0.9588684,0.0,0.8484375,0.0,0.0,0.9005952,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.992263,0.0,0.0,0.0,0.9903622,0.9588684,0.9961089,0.0,0.8598918,0.0,0.0,0.9297824,0.0,0.0,0.0,0.0,0.0,0.0
0.5894112,0.0116021,0.0,0.1162199,0.0194034,0.9359181,0.0,0.0,0.0,0.9959016,0.0,0.420765,0.8910318,0.0,0.0,0.1026928,0.0265858,0.0,0.0,0.008222
0.0,0.0,0.861587,0.0,0.0,0.0,0.8601763,0.8484375,0.8598918,0.0,0.9947917,0.0,0.0,0.8179209,0.0066042,0.0,0.0,0.0,0.0116951,0.0
0.6148605,0.0045504,0.0,0.1367117,0.0136912,0.414889,0.0,0.0,0.0,0.420765,0.0,0.9945355,0.3420926,0.0,0.0,0.109583,0.1020036,0.0,0.0,0.2760575
0.5507157,0.0,0.0,0.1154465,0.0042825,0.9086061,0.0,0.0,0.0,0.8910318,0.0,0.3420926,0.995098,0.0,0.0,0.0464535,0.0114379,0.0,0.0,0.0172476
0.0,0.0,0.9295826,0.0,0.0,0.0,0.9313056,0.9005952,0.9297824,0.0,0.8179209,0.0,0.0,0.9965986,0.1938231,0.0,0.0,0.2211224,0.3453309,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066042,0.0,0.0,0.1938231,0.992,0.0,0.0,0.891,0.7069091,0.0
0.6210855,0.0,0.0,0.0051805,0.0103744,0.1035073,0.0,0.0,0.0,0.1026928,0.0,0.109583,0.0464535,0.0,0.0,0.9932886,0.8478309,0.0,0.0,0.0095285
0.6377339,0.0,0.0,0.0,0.0050995,0.0160801,0.0,0.0,0.0,0.0265858,0.0,0.1020036,0.0114379,0.0,0.0,0.8478309,0.9934641,0.0,0.0,0.0094408
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2211224,0.891,0.0,0.0,0.99,0.6763636,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116951,0.0,0.0,0.3453309,0.7069091,0.0,0.0,0.6763636,0.9818182,0.0
0.5680387,0.0,0.0,0.0,0.0160087,0.0165298,0.0,0.0,0.0,0.008222,0.0,0.2760575,0.0172476,0.0,0.0,0.0095285,0.0094408,0.0,0.0,0.9876543
