雨衣男,员工,母女,乐视,谭谈交通,下架,警方,拖拽,特斯拉,谭乔,进屋,彬彬,起火,麦当劳,内卷,性关系,比亚迪,新东方,前妻,拘留,潜逃,离婚,续约,面包,莱阳,巴菲特,合约,掉地上,货架,苏州,电视台,放回,斯里兰卡,拖进,拖走,转让,霍乱,碳中和,被判赔,武汉大学,葛某,霍乱病例,WPS,调岗,成都电视台,2035年
0.9986772,0.0,0.8579569,0.0,0.0,0.0,0.7442322,0.7280606,0.0,0.0,0.7092056,0.0,0.0,0.0,0.0,0.6897203,0.0,0.0,0.6747216,0.6385366,0.6512039,0.6229589,0.0,0.0,0.6331548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5791214,0.6081525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9984985,0.0,0.7424789,0.0073133,0.0039228,0.0,0.0,0.003483,0.0054231,0.0,0.0028341,0.0,0.6256772,0.674512,0.0,0.0,0.5972622,0.0,0.0,0.0,0.0,0.0031662,0.6307245,0.0,0.0,0.0085023,0.6299192,0.6239357,0.0,0.0134197,0.6324957,0.0,0.0,0.0,0.0090773,0.0,0.0,0.6007829,0.004719,0.5341721,0.0055584,0.0,0.53861,0.0172523,0.0
0.8579569,0.0,0.9981685,0.0,0.0,0.0,0.8411492,0.8092712,0.0,0.0,0.7883963,0.0,0.0,0.0,0.0,0.2119309,0.0,0.0,0.1557597,0.6894663,0.1785019,0.6219219,0.0,0.0,0.6786159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6124446,0.6508876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.7424789,0.0,0.996988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8578564,0.0,0.0049307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050775,0.0071787,0.0,0.0,0.0,0.0082204,0.0,0.0,0.0,0.0,0.0105878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0073133,0.0,0.0,0.9978448,0.9427549,0.0,0.0,0.0,0.7656694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038248,0.6884878,0.0,0.0053879,0.0,0.0,0.0243273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5895259,0.0
0.0,0.0039228,0.0,0.0,0.9427549,0.9975787,0.0,0.0,0.0,0.7326022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039579,0.6714084,0.0,0.005521,0.0,0.0,0.0099971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5465375,0.0
0.7442322,0.0,0.8411492,0.0,0.0,0.0,0.997416,0.513009,0.0,0.0,0.4629163,0.0,0.0,0.0,0.0,0.2064942,0.0,0.0,0.1452524,0.3156741,0.1768881,0.6484428,0.0,0.0,0.7549923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6415263,0.6970934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7280606,0.0,0.8092712,0.0,0.0,0.0,0.513009,0.9971264,0.0,0.0,0.9431871,0.0,0.0,0.0,0.0,0.1254985,0.0,0.0,0.108981,0.7810587,0.0957551,0.3829126,0.0,0.0,0.2472938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4104982,0.1626284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.003483,0.0,0.0,0.0,0.0,0.0,0.0,0.9945355,0.0,0.0,0.0,0.9478076,0.0,0.0,0.0,0.0123138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9808293,0.0,0.0,0.0070426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0054231,0.0,0.0,0.7656694,0.7326022,0.0,0.0,0.0,0.9960784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4108456,0.0,0.0,0.0,0.0,0.0114973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4594118,0.0
0.7092056,0.0,0.7883963,0.0,0.0,0.0,0.4629163,0.9431871,0.0,0.0,0.996904,0.0,0.0,0.0,0.0,0.0942114,0.0,0.0,0.0751005,0.7963094,0.0512077,0.3743316,0.0,0.0,0.1868331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3343653,0.1306905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0028341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9958333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9267512,0.0,0.0,0.0,0.9833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9478076,0.0,0.0,0.0,0.9939759,0.0,0.0,0.0,0.0064367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9502847,0.0,0.0,0.0073224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6256772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9948454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9741194,0.0,0.0,0.0,0.9714876,0.9326258,0.0,0.0,0.974064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.674512,0.0,0.8578564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9958333,0.0,0.005508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056548,0.0083333,0.0,0.0,0.0,0.009375,0.0,0.0,0.0,0.0,0.0117424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6897203,0.0,0.2119309,0.0,0.0,0.0,0.2064942,0.1254985,0.0,0.0,0.0942114,0.0,0.0,0.0,0.0,0.9965986,0.0,0.0,0.9272515,0.0767054,0.8763885,0.2414885,0.0,0.0,0.1651146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1692624,0.107163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
