调剂,女大学生,上报,抱走,小树林,体能,批捕,宣判,市政府,妨害,一审,桂林,开分,迪士尼,漠视,强制执行,下落不明,拐卖儿童,袁冰妍,茅台,薪酬,期限,逃税,残余,年薪,招聘,偷税,全县
0.9965753,0.0,0.1609456,0.3023146,0.0,0.0,0.0,0.0,0.1675702,0.0,0.0,0.1935512,0.0,0.0,0.0837724,0.0,0.486546,0.1560481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1290626
0.0,0.9958159,0.0,0.0,0.0,0.0,0.0,0.9344132,0.0,0.0,0.9875171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1609456,0.0,0.9961089,0.8658706,0.0,0.0,0.0,0.0,0.8837342,0.0,0.0,0.0416804,0.0,0.0,0.0,0.0,0.0,0.3300051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1406882
0.3023146,0.0,0.8658706,0.9971264,0.0,0.0,0.0,0.0,0.7711079,0.0,0.0,0.1486704,0.0,0.0,0.0413351,0.0,0.2229064,0.4891835,0.0,0.0,0.0,0.0569923,0.0,0.0,0.0,0.0,0.0,0.2177147
0.0,0.0,0.0,0.0,0.9962547,0.0,0.0058409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.9833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6145833,0.6363821,0.0,0.0,0.0,0.6416667,0.6175926,0.0,0.0
0.0,0.0,0.0,0.0,0.0058409,0.0,0.9920635,0.0,0.0,0.6394426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0539683,0.0
0.0,0.9344132,0.0,0.0,0.0,0.0,0.0,0.9953271,0.0,0.0,0.9395723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1675702,0.0,0.8837342,0.7711079,0.0,0.0,0.0,0.0,0.996139,0.0,0.0,0.3433676,0.0,0.0,0.465548,0.0,0.0,0.3409339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1489704
0.0,0.0,0.0,0.0,0.0,0.0,0.6394426,0.0,0.0,0.9767442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
