调剂,先行曲,清算,搜查,盖章,传言,职能部门,女大学生,一切正常,破产,移交,生育,郎朗,洗钱,抱走,粗暴,农药,袁冰妍,聘请,小树林,上报,依法追究,突击,下落不明,最伟大的作品,乐坛,践踏,云南省,迪士尼,哈根达斯,三生,杰伦,妨害,画家,尊严,新专辑
0.9947917,0.0,0.0,0.0,0.0104993,0.0,0.0,0.0,0.0,0.0,0.0,0.315625,0.0,0.0,0.4033333,0.0436699,0.0,0.0,0.0,0.0151042,0.071875,0.0,0.0,0.4734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9922481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2959831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6454508,0.2732558,0.0,0.0,0.0,0.0,0.0,0.1729651,0.0,0.2259136,0.0,0.2755207
0.0,0.0,0.9938272,0.0,0.0171958,0.0116977,0.0,0.0,0.7090071,0.9432654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.643891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.9879518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5669738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.959885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0104993,0.0,0.0171958,0.0,0.994709,0.0,0.0,0.0,0.0096878,0.0163635,0.0140091,0.0,0.0,0.0,0.0,0.4594017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526455,0.0,0.0,0.5213033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5252646,0.0
0.0,0.0,0.0116977,0.0,0.0,0.9944751,0.0,0.0,0.0098047,0.0111428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4082259,0.0,0.0,0.0113831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.974359,0.0,0.0,0.0,0.8948135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8765329,0.0,0.0,0.0842491,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9655172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.7090071,0.0,0.0096878,0.0098047,0.0,0.0,0.9859155,0.689587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8614619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9432654,0.0,0.0163635,0.0111428,0.0,0.0,0.689587,0.994382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6286323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0140091,0.0,0.8948135,0.0,0.0,0.0,0.9772727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9115613,0.0,0.0,0.0827922,0.0,0.0,0.0,0.0,0.0
0.315625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2959831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4230228,0.0,0.0,0.0,0.0,0.0,0.0,0.1325758,0.0,0.2337662,0.0,0.0969332
0.0,0.0,0.0,0.5669738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5614973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4033333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0225,0.5633333,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0436699,0.0,0.0,0.0,0.4594017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0455466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0442308,0.0
