女大学生,英国首相,4岁男童,马斯克,搜查,约翰逊,被压,选出,妇联,获赔,我不是药神,宣判,秋天,局长,生下,一审,判罚,主犯,判处死刑,先辈,双胞胎,调剂,诗人,抗日战争,被判,侵华,男友,突击,自述,洗钱,传言,侵权,车祸
0.997549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7675945,0.0,0.0,0.0,0.6759454,0.0080065,0.5133442,0.629033,0.0,0.0,0.0,0.0,0.0,0.8292484,0.0,0.4210434,0.0,0.0,0.0,0.0,0.0,0.1715686
0.0,0.9966887,0.0,0.0,0.0,0.7263978,0.0,0.311405,0.0,0.0,0.0,0.0,0.2792657,0.0,0.0,0.0033563,0.0,0.0,0.0,0.0163615,0.0,0.0,0.0,0.018897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9956332,0.0,0.0,0.0,0.9934402,0.0,0.0,0.0,0.0,0.0,0.0095363,0.9849961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035348,0.2631004
0.0,0.0,0.0,0.996139,0.0,0.0,0.0,0.0,0.0,0.0,0.004289,0.0,0.0,0.0,0.9844954,0.0,0.0047083,0.0,0.0,0.0,0.9088605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032819,0.0
0.0,0.0,0.0,0.0,0.9925373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9050373,0.0,0.5356551,0.0,0.0,0.0
0.0,0.7263978,0.0,0.0,0.0,0.9984686,0.0,0.5533952,0.0,0.0,0.0,0.0,0.5358301,0.0,0.0,0.0049328,0.0,0.0,0.0,0.0154716,0.0,0.0,0.0,0.0180071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9934402,0.0,0.0,0.0,0.995614,0.0,0.0,0.0,0.0,0.0,0.0095459,0.9828498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035443,0.2631579
0.0,0.311405,0.0,0.0,0.0,0.5533952,0.0,0.9873418,0.0,0.0,0.0,0.0,0.738831,0.0,0.0,0.0,0.0,0.0,0.0,0.021035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9960784,0.0,0.0,0.0,0.0,0.0,0.0039216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3250774,0.0,0.0,0.0,0.1823129,0.0,0.3997326,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931034,0.0,0.0,0.0,0.0,0.0,0.1905114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051844,0.0,0.0,0.0,0.0,0.0,0.0,0.6767474,0.0
0.0,0.0,0.0,0.004289,0.0,0.0,0.0,0.0,0.0,0.0,0.995283,0.0,0.0,0.0,0.0043193,0.0893018,0.9091195,0.0,0.0,0.0,0.0046949,0.0,0.0,0.0,0.0163784,0.0,0.0,0.0,0.0,0.0,0.0,0.7827766,0.0
0.7675945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9955357,0.0,0.0,0.0,0.8337585,0.0050099,0.3942626,0.6913149,0.0,0.0,0.0,0.0074953,0.0,0.5277778,0.0,0.4732143,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2792657,0.0095363,0.0,0.0,0.5358301,0.0095459,0.738831,0.0,0.0,0.0,0.0,0.9852941,0.0094897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
