中枪,中弹,流血,体征,颈部,枪击,女大学生,重症,英国首相,受贿,约翰逊,案一审,枪声,副部长,选出,开枪,倒地,我不是药神,概念股,二战,伤势,操纵,马斯克,自卫队,歌单,调剂,装置,子弹,出任,先行曲,判罚,最伟大的作品,止血,内阁,安保,运往,搜查,杰伦,公安厅,东京,救护车
0.9954338,0.0995557,0.1176285,0.2660789,0.1111536,0.2570124,0.0,0.0519406,0.0,0.0,0.0115592,0.0,0.2859889,0.0,0.0,0.1584743,0.1953209,0.0,0.3486436,0.0601218,0.1013476,0.0,0.0,0.1519896,0.0,0.0,0.1248097,0.1629786,0.0,0.0,0.0,0.0,0.0522831,0.0,0.2311644,0.1568493,0.0,0.0,0.0,0.1074486,0.2849315
0.0995557,0.9955157,0.0080304,0.075613,0.9230522,0.1580782,0.0,0.0711807,0.0,0.0,0.0114773,0.0,0.0285579,0.0,0.0,0.1266157,0.0205741,0.0,0.3165392,0.0300199,0.1443727,0.0,0.0,0.1138693,0.0,0.0,0.2076067,0.0814074,0.0,0.0,0.0,0.0,0.1044843,0.1155954,0.0923019,0.0,0.1689088,0.0,0.0,0.2144058,0.0
0.1176285,0.0080304,0.9964539,0.0567376,0.0075302,0.1620567,0.0,0.0034854,0.0,0.0,0.0,0.0,0.168533,0.0,0.0,0.1559241,0.8312216,0.0,0.0,0.0591017,0.0419045,0.0,0.0,0.0374873,0.0,0.0,0.0,0.0804692,0.0,0.0,0.0,0.0,0.0,0.0,0.0904255,0.0,0.0,0.0,0.0,0.017398,0.1755319
0.2660789,0.075613,0.0567376,0.9893617,0.0877342,0.1717021,0.0,0.2461017,0.0608423,0.0245499,0.0881565,0.0,0.0949048,0.0,0.0,0.0,0.1006853,0.0,0.0,0.0992908,0.0875714,0.0,0.0,0.0410334,0.0,0.0,0.3098897,0.0875614,0.0437807,0.0,0.0,0.0,0.1106383,0.0608747,0.0,0.0,0.1719858,0.0,0.0,0.0209441,0.1932624
0.1111536,0.9230522,0.0075302,0.0877342,0.9960159,0.1648719,0.0,0.0666785,0.0,0.0,0.0109771,0.0,0.0283078,0.0,0.0,0.1256152,0.0193235,0.0,0.3454418,0.0297698,0.184433,0.0,0.0,0.1508253,0.0,0.0,0.2256161,0.1213607,0.0,0.0,0.0,0.0,0.1039841,0.0575476,0.0684761,0.0,0.1686587,0.0,0.0,0.1937874,0.0
0.2570124,0.1580782,0.1620567,0.1717021,0.1648719,0.9942857,0.0,0.08682,0.0388258,0.0,0.0444755,0.0,0.2333835,0.0,0.0,0.3226891,0.2648689,0.0,0.2904202,0.1225397,0.4967247,0.0,0.0,0.1928571,0.0,0.0,0.128254,0.1652747,0.0826374,0.0,0.0,0.0,0.37,0.2336508,0.1421429,0.1057143,0.1695238,0.0,0.0,0.3141964,0.3257143
0.0,0.0,0.0,0.0,0.0,0.0,0.9756098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0519406,0.0711807,0.0034854,0.2461017,0.0666785,0.08682,0.0,0.9965753,0.0,0.0,0.0052088,0.0,0.0,0.0,0.0,0.0311241,0.010755,0.0,0.0,0.0,0.0695373,0.0,0.0,0.0,0.0,0.0,0.3034627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1733733,0.0350457
0.0,0.0,0.0,0.0608423,0.0,0.0388258,0.0,0.0,0.9863014,0.0,0.7345531,0.0,0.0,0.0,0.380898,0.0,0.008722,0.0,0.0,0.0,0.0190444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0453109,0.0,0.0,0.0,0.0,0.1872146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0245499,0.0,0.0,0.0,0.0,0.0,0.9615385,0.0227273,0.7298077,0.0,0.9023077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8811189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2384615,0.0,0.0
0.0115592,0.0114773,0.0,0.0881565,0.0109771,0.0444755,0.0,0.0052088,0.7345531,0.0227273,0.993007,0.0,0.0,0.0,0.5316628,0.0,0.0214767,0.0,0.0,0.0,0.0156916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041958,0.0,0.0,0.0,0.0,0.2362082,0.0,0.0,0.0,0.0,0.0,0.0191215,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7298077,0.0,0.975,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7397727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0
0.2859889,0.0285579,0.168533,0.0949048,0.0283078,0.2333835,0.0,0.0,0.0,0.0,0.0,0.0,0.9473684,0.0,0.0,0.2786378,0.3100729,0.0,0.0557276,0.0540936,0.0770218,0.0,0.0,0.1240602,0.0,0.0,0.0448343,0.1295547,0.0,0.0,0.0,0.0,0.0,0.0818713,0.1414474,0.0763158,0.0,0.0,0.0,0.0419408,0.0596491
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9023077,0.0,0.78,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8972727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.380898,0.0,0.5316628,0.0,0.0,0.0,0.9444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662393,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1584743,0.1266157,0.1559241,0.0,0.1256152,0.3226891,0.0,0.0311241,0.0,0.0,0.0,0.0,0.2786378,0.0,0.0,0.9411765,0.1564221,0.0,0.0588235,0.0571895,0.0416069,0.0,0.0,0.1953782,0.0,0.0,0.0479303,0.2036199,0.0,0.0,0.0,0.0,0.0,0.0,0.2009804,0.0,0.1960784,0.0,0.0,0.0,0.0627451
0.1953209,0.0205741,0.8312216,0.1006853,0.0193235,0.2648689,0.0,0.010755,0.008722,0.0,0.0214767,0.0,0.3100729,0.0,0.0,0.1564221,0.9962547,0.0,0.0312844,0.0889513,0.0984745,0.0,0.0,0.1127608,0.0,0.0,0.0611735,0.0806684,0.0,0.0,0.0,0.0,0.0518727,0.0574282,0.068118,0.0518727,0.0,0.0,0.0,0.0699906,0.2816479
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9395604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3486436,0.3165392,0.0,0.0,0.3454418,0.2904202,0.0,0.0,0.0,0.0,0.0,0.0,0.0557276,0.0,0.0,0.0588235,0.0312844,0.0,0.9411765,0.0,0.0416069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0601218,0.0300199,0.0591017,0.0992908,0.0297698,0.1225397,0.0,0.0,0.0,0.0,0.0,0.0,0.0540936,0.0,0.0,0.0571895,0.0889513,0.0,0.0,0.9444444,0.0,0.0,0.0,0.0634921,0.0,0.0,0.0462963,0.0,0.5299145,0.0,0.0,0.0,0.0,0.0833333,0.0486111,0.0777778,0.0,0.0,0.0,0.0868056,0.1222222
0.1013476,0.1443727,0.0419045,0.0875714,0.184433,0.4967247,0.0,0.0695373,0.0190444,0.0,0.0156916,0.0,0.0770218,0.0,0.0,0.0416069,0.0984745,0.0,0.0416069,0.0,0.9756098,0.0,0.0,0.0479094,0.0,0.0,0.0307136,0.0506567,0.1013133,0.0,0.0,0.0,0.3109756,0.0,0.0660569,0.0,0.0,0.0,0.0,0.0556402,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8811189,0.0,0.7397727,0.0,0.8972727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1519896,0.1138693,0.0374873,0.0410334,0.1508253,0.1928571,0.0,0.0,0.0,0.0,0.0,0.0,0.1240602,0.0,0.0,0.1953782,0.1127608,0.0,0.0,0.0634921,0.0479094,0.0,0.0,0.9285714,0.0,0.0,0.0542328,0.0741758,0.0,0.0,0.0,0.0,0.0,0.0912698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994709,0.0,0.0,0.0,0.0,0.105291,0.0,0.8149802,0.0,0.0,0.0,0.0,0.0,0.3205727,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1248097,0.2076067,0.0,0.3098897,0.2256161,0.128254,0.0,0.3034627,0.0,0.0,0.0,0.0,0.0448343,0.0,0.0,0.0479303,0.0611735,0.0,0.0,0.0462963,0.0307136,0.0,0.0,0.0542328,0.0,0.0,0.962963,0.0569801,0.0,0.0,0.0,0.0,0.0685185,0.0,0.0,0.0,0.0,0.0,0.0,0.068287,0.0
0.1629786,0.0814074,0.0804692,0.0875614,0.1213607,0.1652747,0.0,0.0,0.0,0.0,0.0,0.0,0.1295547,0.0,0.0,0.2036199,0.0806684,0.0,0.0,0.0,0.0506567,0.0,0.0,0.0741758,0.0,0.0,0.0569801,0.9230769,0.0,0.0,0.0,0.0,0.0884615,0.0,0.1778846,0.0,0.2051282,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0437807,0.0,0.0826374,0.0,0.0,0.0453109,0.0,0.041958,0.0,0.0,0.0,0.0662393,0.0,0.0,0.0,0.0,0.5299145,0.1013133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105291,0.0,0.0,0.0,0.0,0.9,0.0,0.465625,0.0,0.0,0.0,0.0,0.0,0.0794118,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9395604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.974359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8149802,0.0,0.0,0.0,0.0,0.465625,0.0,0.9965278,0.0,0.0,0.0,0.0,0.0,0.4360703,0.0,0.0,0.0
0.0522831,0.1044843,0.0,0.1106383,0.1039841,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0518727,0.0,0.0,0.0,0.3109756,0.0,0.0,0.0,0.0,0.0,0.0685185,0.0884615,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1155954,0.0,0.0608747,0.0575476,0.2336508,0.0,0.0,0.1872146,0.0,0.2362082,0.0,0.0818713,0.0,0.25,0.0,0.0574282,0.0,0.0,0.0833333,0.0,0.0,0.0,0.0912698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888889,0.0,0.0,0.0,0.0,0.0,0.1423611,0.0
0.2311644,0.0923019,0.0904255,0.0,0.0684761,0.1421429,0.0,0.0,0.0,0.0,0.0,0.0,0.1414474,0.0,0.0,0.2009804,0.068118,0.0,0.0,0.0486111,0.0660569,0.0,0.0,0.0,0.0,0.0,0.0,0.1778846,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333,0.0708333,0.1875,0.0,0.0,0.109375,0.0541667
0.1568493,0.0,0.0,0.0,0.0,0.1057143,0.0,0.0,0.0,0.0,0.0,0.0,0.0763158,0.0,0.0,0.0,0.0518727,0.0,0.0,0.0777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0708333,0.9,0.0,0.0,0.0,0.525,0.0
0.0,0.1689088,0.0,0.1719858,0.1686587,0.1695238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1960784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2051282,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.6666667,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3205727,0.0,0.0,0.0,0.0,0.0794118,0.0,0.4360703,0.0,0.0,0.0,0.0,0.0,0.9411765,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2384615,0.0,0.225,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
0.1074486,0.2144058,0.017398,0.0209441,0.1937874,0.3141964,0.0,0.1733733,0.0,0.0,0.0191215,0.0,0.0419408,0.0,0.0,0.0,0.0699906,0.0,0.0,0.0868056,0.0556402,0.0,0.0,0.0,0.0,0.0,0.068287,0.0,0.0,0.0,0.0,0.0,0.0,0.1423611,0.109375,0.525,0.0,0.0,0.0,0.96875,0.0
0.2849315,0.0,0.1755319,0.1932624,0.0,0.3257143,0.0,0.0350457,0.0,0.0,0.0,0.0,0.0596491,0.0,0.0,0.0627451,0.2816479,0.0,0.0,0.1222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0541667,0.0,0.0,0.0,0.0,0.0,0.9333333
