武汉大学,体征,前一晚,武昌区,数据库,供述,武大,议长,中枪,深陷,动荡,枪击,自卫队,动机,被封,一例,马斯克,封禁,英国首相,亲属,嫌疑,文献,行程,袭击,伤势,服役,知识产权,未果,烂摊子,葬礼,安保,急救,发表声明,仅限,早前,满大街,税收,右转,打印,游行,作案,二战,总理
0.992,0.0,0.0,0.6217143,0.0,0.0,0.6348421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066042,0.6217143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9876543,0.0094408,0.0,0.0,0.0172476,0.0,0.0,0.1234568,0.0,0.027912,0.0517184,0.027912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095285,0.0,0.0523457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0094408,0.9934641,0.0,0.0,0.0114379,0.0,0.0,0.0653595,0.0,0.0250071,0.0701731,0.0,0.0,0.0,0.0,0.0,0.0,0.0295838,0.1053221,0.0,0.0,0.8478309,0.0179739,0.0,0.0,0.0,0.0,0.0,0.1149811,0.2651144,0.4261438,0.0,0.1078431,0.0,0.0,0.0,0.0,0.0866013,0.0449346,0.0,0.0866013,0.0
0.6217143,0.0,0.0,0.9714286,0.0,0.0,0.6586466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.996139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.861587,0.0,0.0,0.5483591,0.0,0.0,0.0,0.5818676,0.0,0.0,0.0,0.0,0.2200772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0172476,0.0114379,0.0,0.0,0.995098,0.0,0.0,0.0629085,0.5420437,0.0241901,0.211778,0.0967604,0.5650452,0.0,0.0,0.0,0.0,0.0,0.4853641,0.3247549,0.0,0.0464535,0.5147059,0.1122549,0.0,0.0,0.0,0.0,0.4682663,0.0698529,0.0,0.0,0.4632353,0.0,0.0,0.1691176,0.0,0.2573529,0.0,0.4098039,0.0,0.0143557
0.6348421,0.0,0.0,0.6586466,0.0,0.0,0.9736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6586466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7402597,0.0,0.6960227,0.1151515,0.0,0.0,0.0,0.0568182,0.0,0.0,0.7034632
0.0,0.1234568,0.0653595,0.0,0.0,0.0629085,0.0,0.0,0.962963,0.0,0.0402576,0.0758258,0.0,0.031339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0218742,0.0332244,0.0385185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.5420437,0.0,0.0,0.0,0.9615385,0.0,0.0259875,0.0,0.8012821,0.0,0.0,0.0,0.0,0.0,0.8043956,0.0817308,0.0,0.0,0.8144796,0.0,0.0,0.0,0.0,0.0,0.7773279,0.0,0.0,0.0,0.780543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
