手机,发布会,x玖少年团,美国,宣布,核酸检测,汽车,华为,传播,健康,夏天,媒体,生产,日本,毕业,影像,民警,能量,隔离,拍摄,k党,也中枪,嫌疑人,犯罪,镜头,患者,代言人,歧视,独立,海上,第一次,警察,孩子,生命,夏日,工厂,确诊,制度,特斯拉,海域,售价,博主,特朗普,前置,新冠肺炎,旗袍,用户,发言人,受伤,报警,涉嫌,营销,高中,世锦赛,疫情防控,屏幕,模式,渠道,高端,著名,目标,退出,身体,维护,专辑,湖北,管控,海军,唐山,事发,管理,张某,尴尬,司机,爆发,免费,网传,视觉,搜救,本土,陷入,巅峰,核酸,选举,产能,猥亵,苹果,黄金,跳水,销售,爆料,顶级,监控,警惕,工艺,功能,周杰伦,福景,基地,原本
0.9285714,0.2142857,0.0,0.0690476,0.1714286,0.0,0.1071429,0.4285714,0.1357143,0.0,0.0,0.077381,0.1071429,0.0,0.0,0.5952381,0.0,0.0,0.0,0.4071429,0.0,0.0,0.0,0.0,0.4761905,0.0,0.0,0.0,0.0,0.0,0.1071429,0.0,0.0,0.0,0.0,0.1190476,0.0,0.0,0.3214286,0.0,0.5428571,0.1357143,0.0,0.3214286,0.0,0.0,0.3214286,0.0,0.0,0.0,0.0,0.1607143,0.0,0.0,0.1071429,0.4761905,0.4285714,0.1357143,0.4047619,0.0,0.2142857,0.2380952,0.0,0.0,0.0,0.1607143,0.0,0.0,0.0,0.0,0.2142857,0.0,0.1357143,0.0,0.0,0.0,0.0,0.2714286,0.0,0.0,0.1357143,0.1357143,0.0,0.0,0.202381,0.0,0.3571429,0.1607143,0.0,0.1607143,0.3571429,0.2714286,0.1357143,0.0,0.4071429,0.3214286,0.0,0.0,0.1190476,0.0
0.2142857,0.8571429,0.0,0.2095238,0.1214286,0.1714286,0.2857143,0.2857143,0.0,0.1339286,0.0,0.2261905,0.0,0.0,0.0,0.3095238,0.0,0.0,0.1964286,0.3428571,0.0,0.0,0.0,0.0,0.3095238,0.0,0.0,0.1714286,0.1714286,0.0,0.0,0.2380952,0.0,0.0,0.0,0.0,0.1547619,0.0,0.1964286,0.0,0.1714286,0.1714286,0.0,0.1964286,0.1964286,0.0,0.1428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571,0.3095238,0.2857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2380952,0.0,0.0,0.1547619,0.2857143,0.0,0.0,0.1964286,0.0,0.0,0.0,0.1714286,0.0,0.1714286,0.0,0.1714286,0.1964286,0.0,0.0,0.0,0.0,0.1964286,0.0,0.0,0.1547619,0.1714286,0.1714286,0.0,0.3428571,0.1964286,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0690476,0.2095238,0.0,0.9333333,0.3333333,0.1333333,0.3142857,0.0,0.1333333,0.0958333,0.0,0.3,0.2095238,0.3166667,0.0,0.0,0.0,0.0,0.1583333,0.0,0.0,0.4,0.0888889,0.0888889,0.0,0.1166667,0.0,0.0,0.4,0.2666667,0.1047619,0.4,0.0,0.0,0.0,0.1166667,0.2333333,0.1583333,0.1583333,0.2,0.0,0.0,0.2833333,0.0,0.1583333,0.0,0.0,0.2666667,0.1333333,0.0,0.0,0.0,0.0,0.0,0.3142857,0.0,0.1047619,0.0,0.0,0.2,0.2095238,0.1166667,0.0,0.2333333,0.1047619,0.0,0.2,0.1583333,0.0,0.2333333,0.1047619,0.0,0.0,0.1583333,0.2666667,0.0,0.0,0.0,0.0,0.1333333,0.1333333,0.0,0.1583333,0.2,0.2,0.0,0.1166667,0.0,0.0,0.1583333,0.0,0.0,0.0,0.1583333,0.0,0.0,0.0,0.0,0.1166667,0.1333333
0.1714286,0.1214286,0.0,0.3333333,0.9,0.0,0.2428571,0.1214286,0.0,0.0,0.0,0.275,0.1214286,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.2166667,0.0,0.0,0.0,0.1333333,0.0,0.0,0.175,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.1214286,0.0,0.1214286,0.15,0.2166667,0.0,0.2428571,0.1333333,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.1333333,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.2166667,0.2166667,0.0,0.2666667,0.0,0.0,0.175,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.1333333,0.0
0.0,0.1714286,0.0,0.1333333,0.0,0.8,0.0,0.0,0.2,0.4875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.2,0.0,0.0,0.1714286,0.0,0.0,0.0,0.0,0.1833333,0.55,0.225,0.0,0.0,0.0,0.2,0.0,0.225,0.45,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.5142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.225,0.5333333,0.0,0.0,0.0,0.1714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1071429,0.2857143,0.0,0.3142857,0.2428571,0.0,0.8571429,0.2857143,0.0,0.0,0.0,0.3392857,0.1428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2380952,0.1269841,0.1269841,0.0,0.0,0.0,0.1714286,0.3428571,0.0,0.0,0.4761905,0.0,0.0,0.0,0.3095238,0.0,0.1964286,0.3928571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1714286,0.0,0.0,0.1964286,0.0,0.0,0.1428571,0.0,0.2857143,0.0,0.0,0.2380952,0.1428571,0.0,0.0,0.1547619,0.0,0.0,0.0,0.0,0.0,0.3095238,0.1428571,0.0,0.0,0.1964286,0.1714286,0.0,0.0,0.0,0.0,0.0,0.1714286,0.0,0.0,0.0,0.2380952,0.0,0.1547619,0.1964286,0.0,0.1964286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1547619,0.0
0.4285714,0.2857143,0.0,0.0,0.1214286,0.0,0.2857143,0.8571429,0.0,0.0,0.0,0.1130952,0.0,0.0,0.0,0.4642857,0.0,0.0,0.0,0.3428571,0.0,0.0,0.0,0.0,0.4642857,0.0,0.0,0.1714286,0.0,0.0,0.1428571,0.0,0.0,0.0,0.0,0.1547619,0.0,0.0,0.1964286,0.0,0.0,0.0,0.0,0.3928571,0.0,0.0,0.1428571,0.0,0.0,0.0,0.0,0.3928571,0.0,0.0,0.0,0.4642857,0.5714286,0.1714286,0.2380952,0.0,0.1428571,0.3095238,0.0,0.0,0.0,0.1964286,0.0,0.0,0.0,0.0,0.1428571,0.0,0.1714286,0.0,0.1714286,0.0,0.0,0.3428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1547619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3428571,0.3928571,0.0,0.0,0.0,0.0
0.1357143,0.0,0.0,0.1333333,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.1416667,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3428571,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1339286,0.0,0.0958333,0.0,0.4875,0.0,0.0,0.0,0.875,0.0,0.0,0.1339286,0.0,0.0,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,0.1180556,0.0,0.2916667,0.0,0.1625,0.0,0.0,0.1339286,0.0,0.0,0.2916667,0.0,0.1458333,0.4375,0.1875,0.0,0.0,0.0,0.1625,0.0,0.1875,0.375,0.0,0.0,0.0,0.0,0.0,0.2916667,0.0,0.0,0.0,0.2678571,0.0,0.0,0.0,0.0,0.0,0.1339286,0.0,0.1875,0.2916667,0.0,0.1875,0.4583333,0.0,0.0,0.0,0.1339286,0.0,0.0,0.0,0.0,0.0,0.1625,0.0,0.0,0.325,0.1625,0.0,0.375,0.0,0.2291667,0.0,0.0,0.0,0.0,0.0,0.2916667,0.0,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
