作品,x玖少年团,公司,赚钱,韩国,房价,法律硕士,队长,欧洲,成都,资源,漫画,钟薛高,河北,英国,出口,歌词,玩游戏,买房,测试,诉讼,热度,轻松,王一博,玩家,天空,海外,居住,街舞,非法,卫生,风向标,风波,业务,主角,预售,管理局,资格,客户,节目,存款,协定,电视剧,顺利,熬夜,非全日制,全县,形象,住房,米老鼠,导演,创作,周期,例子,全州县,抄袭,无症状,全日制,实验室,高达,指责,子女,变种,郑智化,宣判,开发,搞笑,预约,张学友,比例,联合国,监督,超生,东方,丈夫,花钱,国漫,迪士尼,博物馆,姐姐,实在,改编,法学,高度,欧美,申报,王力,社会调剂,星星点灯,面试,居民,中学校长,监管,预警,人民法院,抱走,委屈,批准,得罪,艺伎
0.75,0.0,0.1607143,0.2083333,0.1964286,0.0,0.0,0.2083333,0.0,0.0,0.0,0.2916667,0.0,0.0,0.0,0.0,0.2916667,0.0,0.0,0.0,0.0,0.25,0.0,0.225,0.0,0.25,0.25,0.0,0.1875,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.225,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.2916667,0.0,0.0,0.2916667,0.0,0.25,0.0,0.0,0.2916667,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.375,0.0,0.0,0.0,0.225,0.5833333,0.0,0.225,0.225,0.0,0.0,0.0,0.2916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1607143,0.0,0.9285714,0.2380952,0.2142857,0.0,0.0,0.0,0.0,0.0,0.0,0.202381,0.0,0.0,0.2380952,0.0,0.0,0.1357143,0.1607143,0.1357143,0.1607143,0.3214286,0.3214286,0.0,0.1071429,0.0,0.1607143,0.1607143,0.0,0.0,0.0,0.0,0.0,0.1357143,0.3214286,0.0,0.0,0.1357143,0.0,0.0,0.0,0.0,0.1357143,0.1607143,0.3214286,0.0,0.0,0.4047619,0.0,0.4047619,0.1607143,0.2714286,0.0,0.2714286,0.0,0.0,0.1607143,0.0,0.202381,0.0,0.202381,0.0,0.0,0.0,0.0,0.1607143,0.0,0.0,0.0,0.1357143,0.0,0.0,0.0,0.0,0.0,0.3214286,0.2857143,0.4047619,0.0,0.0,0.1357143,0.202381,0.202381,0.1357143,0.2714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1607143,0.0,0.0,0.0,0.0,0.0
0.2083333,0.0,0.2380952,0.8333333,0.1547619,0.0,0.0,0.0,0.2083333,0.0,0.0,0.25,0.0,0.2083333,0.0,0.2083333,0.0,0.0,0.0,0.0,0.0,0.2083333,0.2083333,0.0,0.0,0.0,0.4166667,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.4166667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333,0.1833333,0.4166667,0.2083333,0.0,0.0,0.0,0.0,0.0,0.2083333,0.1833333,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.2083333,0.3333333,0.0,0.0,0.0,0.1833333,0.25,0.0,0.1833333,0.3666667,0.0,0.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
0.1964286,0.0,0.2142857,0.1547619,0.8571429,0.0,0.0,0.0,0.0,0.0,0.0,0.2380952,0.0,0.0,0.1547619,0.0,0.0,0.0,0.0,0.0,0.0,0.1964286,0.0,0.0,0.0,0.0,0.1964286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1964286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1964286,0.0,0.0,0.1714286,0.0,0.1964286,0.0,0.0,0.0,0.0,0.2380952,0.0,0.0,0.0,0.0,0.1964286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1964286,0.3214286,0.0,0.0,0.0,0.1714286,0.2380952,0.0,0.1714286,0.3428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.2083333,0.45,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.375,0.0,0.0,0.0,0.0,0.3928571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2083333,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333,0.0,0.0,0.0,0.0,0.7291667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.2083333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.375,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.2916667,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.2916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.225,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.8333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
