企业,关税,出口,财经,银行,风向标,美国,英国,宣判,医院,顺利,粮食,车主,河南,职务,对华,取消,欧洲,辞去,领导人,储户,制裁,被告人,联防,七七事变,批准,激烈,收入,发稿,海南,英国首相,判决,85周年,河南省,洪峤,南京,病毒,热度,供应,法院,赋红码,迎来,村镇,女大学生,被判,农产品,法庭,马斯克,联控,打游戏,张晨光,曹泽青,运输,预防,郑州,案一审,国务院,职场,男友,死刑,奶油,剥夺,公示,丁元英,全员,高合,对话,一审,卢沟桥,依赖,虚假,红码,战神,飞盘,秋季,中美关系,纠结,余承东,人民法院,考上,小女孩,变异,榜单,扩散,济南,音响,新型冠状病毒,国家话剧院,先烈,小暑,骗子,大使,哈根达斯,常识,黄昏,化妆品,变红,愿望,曝光,贞子
0.9,0.4333333,0.45,0.0,0.0,0.0,0.3333333,0.1125,0.0,0.0,0.0,0.4333333,0.2166667,0.0,0.0,0.45,0.45,0.2428571,0.0,0.1333333,0.0,0.45,0.0,0.0,0.0,0.0,0.1333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4333333,0.0,0.0,0.175,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2166667,0.0,0.0,0.2166667,0.2166667,0.0,0.0,0.0,0.0,0.35,0.0,0.525,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0
0.4333333,0.6666667,0.2666667,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.3333333,0.0,0.0,0.0,0.5333333,0.5333333,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333,0.0,0.0,0.3333333,0.0,0.0,0.0,0.0,0.0,0.5833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.2666667,0.8,0.1833333,0.0,0.0,0.1333333,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1833333,0.8333333,0.3666667,0.0,0.1166667,0.1458333,0.0,0.1833333,0.0,0.0,0.0,0.3666667,0.0,0.0,0.0,0.0,0.0,0.0,0.3666667,0.0,0.0,0.0,0.0,0.1833333,0.0,0.0,0.3333333,0.2083333,0.0,0.0,0.0,0.4166667,0.0,0.0,0.1666667,0.0,0.0,0.0,0.4166667,0.0,0.4166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3666667,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.2083333,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.4166667,0.0,0.0,0.0
0.0,0.0,0.0,0.3666667,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666667,0.0,0.0,0.0,0.0,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.675,0.0,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3333333,0.4,0.1333333,0.1166667,0.0,0.0,0.9333333,0.2875,0.0,0.1333333,0.0,0.2,0.0,0.0,0.0,0.4,0.2666667,0.4190476,0.0,0.2333333,0.0,0.5333333,0.0,0.1333333,0.0,0.4,0.1166667,0.1333333,0.0,0.3166667,0.0,0.0,0.0,0.0,0.0,0.0,0.2333333,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1583333,0.2833333,0.1333333,0.0,0.0,0.0,0.1333333,0.2,0.0,0.0,0.1333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.475,0.0,0.1583333,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.1583333,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,0.0,0.0,0.1458333,0.0,0.0,0.2875,0.875,0.0,0.1625,0.0,0.0,0.0,0.0,0.2916667,0.0,0.0,0.2678571,0.2678571,0.2916667,0.0,0.1625,0.0,0.1625,0.0,0.1625,0.0,0.0,0.2916667,0.1875,0.2678571,0.0,0.0,0.0,0.0,0.0,0.2916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1625,0.0,0.0,0.0,0.0,0.2291667,0.0,0.0,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2291667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.1875,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.7333333,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.7333333,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.675,0.0,0.0,0.0,0.8,0.0,0.0,0.6,0.8,0.0,0.675,0.0,0.0,0.0,0.0,0.0,0.5333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.1833333,0.0,0.0,0.1333333,0.1625,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.5333333,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.0
