日本,安倍,安倍晋三,警方,枪击,生命,前首相,嫌疑人,身亡,鱼吐人言,画面,中枪,身体,演讲时,倒地,遭遇,体征,奈良,乡镇,山上,奈良市,东京,奈良县,伤势,胸部,心肺,疫苗,嫌犯,遇刺,演讲,逮捕,精准,枪支,日本首相,脊椎动物,街头,自制,安保,击中,抢救,执政,袭击,日本广播协会,开枪,子弹,霰弹枪,疑似,田文雄,公安部,闭环,流血,新闻报道,枪声,遭受,自卫队,政坛,林平之,遇袭,救护车,遗体,枪响,不明,狐妖小红娘月红篇,枪击案,岳灵珊,日本共同社,莱恩,富士,先进,监护室,右翼,何欣蕾,单曲,动机,实验,重症,自民党,可控,供述,米处,增程式,二战,小燕子,风光,刺杀,保镖,玄色,凶手,悲伤,不治,头骨,中日关系,软骨,哀悼,嫌疑,警备,日元,葬礼,被捕,同情
0.9859155,0.7116383,0.8227364,0.5447183,0.7580779,0.473885,0.8550576,0.5337287,0.565621,0.0,0.3848089,0.4172535,0.0784708,0.6313745,0.4670126,0.3896714,0.5103563,0.5248826,0.1737089,0.4441315,0.5670867,0.3992958,0.5130785,0.524968,0.5460455,0.5652582,0.0,0.5133803,0.4550379,0.4383803,0.5357981,0.1070423,0.4381847,0.4867958,0.0,0.456338,0.3923541,0.4518779,0.4383803,0.5133803,0.4518779,0.4708249,0.5005417,0.3422535,0.428169,0.2711268,0.3923541,0.4708249,0.0903756,0.1320423,0.4381847,0.5133803,0.4381847,0.428169,0.3138833,0.5007825,0.0,0.3138833,0.5007825,0.3138833,0.3923541,0.2640845,0.0,0.4708249,0.0,0.428169,0.0,0.428169,0.0,0.3211268,0.4518779,0.428169,0.1320423,0.4708249,0.0,0.3211268,0.4708249,0.2570423,0.428169,0.3615023,0.0,0.4518779,0.0,0.0,0.3615023,0.1569416,0.0,0.2503912,0.2640845,0.0,0.0,0.2640845,0.0,0.3211268,0.428169,0.3474178,0.3961268,0.3474178,0.3211268,0.1320423
0.7116383,0.9824561,0.7639098,0.4390351,0.7244582,0.4144737,0.7323764,0.5614035,0.472488,0.0,0.4448622,0.4276316,0.0802005,0.5983061,0.5263158,0.3530702,0.4582043,0.3368421,0.0,0.5052632,0.5964912,0.4114035,0.4893484,0.4338118,0.4723347,0.3789474,0.0,0.4701754,0.5195682,0.3530702,0.5548246,0.0,0.3216374,0.4276316,0.0,0.4114035,0.4010025,0.3684211,0.4539474,0.4114035,0.4605263,0.481203,0.5195682,0.4701754,0.4350877,0.3684211,0.481203,0.4010025,0.0921053,0.0,0.5146199,0.3526316,0.5146199,0.3263158,0.320802,0.5146199,0.0,0.481203,0.3859649,0.4010025,0.4010025,0.2675439,0.0,0.481203,0.0,0.4350877,0.0,0.3263158,0.0,0.3263158,0.3684211,0.3263158,0.0,0.481203,0.0,0.3263158,0.481203,0.0,0.4350877,0.3684211,0.0,0.4605263,0.0,0.0,0.3684211,0.4010025,0.0,0.3859649,0.4013158,0.0,0.0,0.4013158,0.0,0.4350877,0.4350877,0.3508772,0.2675439,0.1754386,0.4350877,0.4013158
0.8227364,0.7639098,0.9857143,0.5142857,0.7964986,0.447619,0.8603896,0.5353383,0.5974026,0.0,0.4285714,0.4875,0.0785714,0.6827586,0.6022556,0.4392857,0.4752101,0.5666667,0.0,0.4452381,0.6022556,0.5142857,0.4714286,0.4733766,0.5472527,0.5666667,0.0,0.4,0.456044,0.4880952,0.4880952,0.0,0.4388889,0.4178571,0.0,0.4571429,0.4714286,0.3619048,0.5369048,0.5142857,0.3619048,0.4714286,0.5472527,0.4571429,0.4285714,0.3619048,0.4714286,0.4714286,0.0904762,0.0,0.5015873,0.5142857,0.5015873,0.4285714,0.3928571,0.3761905,0.0,0.4714286,0.4388889,0.4714286,0.4714286,0.2642857,0.0,0.3928571,0.0,0.3214286,0.0,0.4285714,0.0,0.4285714,0.3619048,0.4285714,0.0,0.3142857,0.0,0.4285714,0.4714286,0.0,0.2142857,0.452381,0.0,0.452381,0.0,0.0,0.2714286,0.4714286,0.0,0.3134921,0.2642857,0.0,0.0,0.2642857,0.0,0.3214286,0.4285714,0.347619,0.3964286,0.347619,0.4285714,0.1321429
0.5447183,0.4390351,0.5142857,0.95,0.5220588,0.1375,0.4090909,0.4618421,0.0,0.0,0.0607143,0.2625,0.0964286,0.3801724,0.3078947,0.0666667,0.1632353,0.4083333,0.0,0.4083333,0.3078947,0.0,0.425,0.0,0.1903846,0.4083333,0.0,0.6,0.2538462,0.4,0.4,0.0,0.3222222,0.0875,0.0,0.225,0.2892857,0.2166667,0.3333333,0.075,0.1083333,0.2892857,0.1903846,0.45,0.375,0.325,0.4821429,0.0964286,0.1083333,0.0,0.2416667,0.525,0.3222222,0.125,0.3857143,0.2416667,0.0,0.1928571,0.2416667,0.0964286,0.1928571,0.3,0.0,0.4821429,0.0,0.375,0.0,0.125,0.0,0.0,0.2166667,0.0,0.0,0.3857143,0.0,0.0,0.3857143,0.0,0.375,0.1083333,0.0,0.2166667,0.0,0.0,0.2166667,0.0,0.0,0.2416667,0.0,0.0,0.0,0.15,0.0,0.0,0.5,0.1916667,0.15,0.0,0.25,0.0
0.7580779,0.7244582,0.7964986,0.5220588,0.9803922,0.2757353,0.7935829,0.5417957,0.4879679,0.0,0.227591,0.2169118,0.0812325,0.4597701,0.4695562,0.4632353,0.2745098,0.4745098,0.0,0.4313725,0.4334365,0.2392157,0.4551821,0.5525847,0.2895928,0.345098,0.0,0.4784314,0.3378582,0.4632353,0.5147059,0.0,0.3267974,0.4338235,0.0,0.3588235,0.4061625,0.2794118,0.3602941,0.4186275,0.372549,0.487395,0.4343891,0.3588235,0.4392157,0.2794118,0.4061625,0.487395,0.0931373,0.0,0.4575163,0.4784314,0.3921569,0.4392157,0.2436975,0.4575163,0.0,0.2436975,0.3267974,0.2436975,0.2436975,0.2696078,0.0,0.487395,0.0,0.4392157,0.0,0.4392157,0.0,0.3294118,0.372549,0.3294118,0.0,0.487395,0.0,0.3294118,0.4061625,0.0,0.4392157,0.372549,0.0,0.2794118,0.0,0.0,0.372549,0.162465,0.0,0.3267974,0.2696078,0.0,0.0,0.4044118,0.0,0.4392157,0.4392157,0.3529412,0.2696078,0.3529412,0.3294118,0.1348039
0.473885,0.4144737,0.447619,0.1375,0.2757353,0.9583333,0.4189394,0.2357456,0.0871212,0.0,0.2827381,0.1666667,0.0922619,0.4188218,0.1885965,0.0,0.8039216,0.2166667,0.1875,0.1083333,0.2828947,0.0708333,0.1696429,0.0662879,0.2371795,0.2708333,0.1458333,0.0708333,0.1778846,0.125,0.1875,0.1208333,0.0763889,0.0833333,0.1875,0.1416667,0.0,0.1041667,0.1875,0.1416667,0.0,0.0922619,0.1778846,0.0708333,0.2416667,0.1041667,0.1845238,0.0,0.0,0.1458333,0.2291667,0.1416667,0.2291667,0.1208333,0.0922619,0.1527778,0.0,0.0,0.3819444,0.0,0.0922619,0.1458333,0.0,0.0922619,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333,0.2416667,0.0,0.0922619,0.0,0.0,0.0922619,0.2708333,0.0,0.2083333,0.0,0.1041667,0.0,0.0,0.0,0.0,0.0,0.0763889,0.0,0.0,0.1875,0.1458333,0.2708333,0.1208333,0.1208333,0.0,0.1458333,0.0,0.1208333,0.1458333
0.8550576,0.7323764,0.8603896,0.4090909,0.7935829,0.4189394,0.9818182,0.4602871,0.5727273,0.0,0.4032468,0.2863636,0.0805195,0.6319749,0.4956938,0.4568182,0.4620321,0.5515152,0.0,0.3818182,0.6019139,0.3545455,0.4928571,0.5454545,0.5706294,0.4666667,0.0,0.4136364,0.3804196,0.4060606,0.5075758,0.0,0.4525253,0.4295455,0.0,0.4727273,0.4025974,0.369697,0.4568182,0.5318182,0.4621212,0.4831169,0.5230769,0.3545455,0.4363636,0.2772727,0.4025974,0.4831169,0.0924242,0.0,0.4525253,0.4136364,0.4525253,0.4363636,0.3220779,0.4525253,0.0,0.3220779,0.4525253,0.3220779,0.4025974,0.2681818,0.0,0.4025974,0.0,0.3272727,0.0,0.4363636,0.0,0.2181818,0.369697,0.4363636,0.0,0.3220779,0.0,0.2181818,0.4831169,0.0,0.2181818,0.369697,0.0,0.4621212,0.0,0.0,0.2772727,0.161039,0.0,0.1292929,0.2681818,0.0,0.0,0.4022727,0.0,0.4363636,0.4363636,0.3515152,0.2681818,0.3515152,0.3272727,0.1340909
0.5337287,0.5614035,0.5353383,0.4618421,0.5417957,0.2357456,0.4602871,0.9473684,0.0980861,0.0,0.1240602,0.0,0.0,0.3920145,0.1578947,0.0679825,0.2229102,0.3578947,0.0,0.5964912,0.2631579,0.0763158,0.4342105,0.0717703,0.0647773,0.2385965,0.0,0.4578947,0.194332,0.2719298,0.4078947,0.0,0.245614,0.1776316,0.0,0.1526316,0.2932331,0.2192982,0.2039474,0.1526316,0.2192982,0.3909774,0.194332,0.3052632,0.2526316,0.2192982,0.3909774,0.2932331,0.1096491,0.0,0.4093567,0.3052632,0.1637427,0.2526316,0.1954887,0.245614,0.0,0.2932331,0.1637427,0.1954887,0.1954887,0.3026316,0.0,0.2932331,0.0,0.3789474,0.0,0.1263158,0.0,0.0,0.1096491,0.2526316,0.0,0.5864662,0.0,0.0,0.1954887,0.0,0.5052632,0.2192982,0.0,0.3289474,0.0,0.0,0.3289474,0.0,0.0,0.1637427,0.1513158,0.0,0.0,0.1513158,0.0,0.1263158,0.3789474,0.1929825,0.0,0.0,0.5052632,0.0
0.565621,0.472488,0.5974026,0.0,0.4879679,0.0871212,0.5727273,0.0980861,0.9545455,0.0,0.1753247,0.1704545,0.0,0.1598746,0.1471292,0.3219697,0.052139,0.1121212,0.0,0.0,0.1471292,0.4363636,0.2337662,0.6818182,0.0,0.2242424,0.0,0.0,0.1835664,0.1931818,0.0643939,0.0,0.0782828,0.1704545,0.0,0.1454545,0.0941558,0.2121212,0.0,0.3636364,0.4242424,0.0941558,0.1835664,0.0727273,0.1227273,0.0,0.0,0.0941558,0.0,0.0,0.0782828,0.0727273,0.0782828,0.1227273,0.0,0.3131313,0.0,0.2824675,0.0,0.4707792,0.1883117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2121212,0.1227273,0.0,0.0,0.0,0.0,0.1883117,0.0,0.0,0.2121212,0.0,0.2121212,0.0,0.0,0.1060606,0.2824675,0.0,0.1565657,0.1477273,0.0,0.0,0.1477273,0.0,0.3681818,0.0,0.1893939,0.1477273,0.3787879,0.0,0.1477273
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
