公司,美国,x玖少年团,wps,合作,韩国,企业,协议,供应,健身,正式,河南,医院,故事,风向标,顺利,欧洲,总统,法院,天然气,宇宙,暑假,老师,福建,林肯,导演,预告,海外,山东,年度,公告,动物,举报,委员会,电视剧,疾控中心,科技,目标,拜登,总理,医疗,创新,能源,业主,患者,就业,深圳,训练,证据,高考,媒体,复核,精神,反复,一例,植物,法国,收益,危险,管理,消失,印度,破产,盛夏,突破,选手,长春市,竞选,预计,未成年人,欧盟,被告人,文字,发出,试验,派出所,海洋,权利,江西,恶劣,维权,团战,威胁,夏日,王源,环保,浪漫,在线,满意,观测,残疾,公务员,道歉,报考,西瓜,原神,全体,质量,监控,账号
0.9285714,0.0741758,0.0,0.0,0.0,0.0,0.2380952,0.0,0.202381,0.1607143,0.2571429,0.0,0.0,0.0,0.0,0.0,0.202381,0.0,0.3571429,0.202381,0.0,0.0,0.0,0.0,0.0,0.1357143,0.0,0.0,0.0,0.1357143,0.1190476,0.0,0.0,0.0,0.0,0.0,0.4071429,0.3214286,0.0,0.0,0.0,0.0,0.1607143,0.0,0.0,0.0,0.1607143,0.1607143,0.1357143,0.0,0.1964286,0.0,0.2714286,0.0,0.0,0.0,0.202381,0.4071429,0.0,0.2142857,0.0,0.0,0.1357143,0.0,0.2142857,0.1607143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1357143,0.0,0.0,0.0,0.0,0.0,0.0,0.2714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1607143,0.0,0.0,0.0,0.1357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0741758,0.9230769,0.0,0.0,0.3028846,0.2197802,0.1217949,0.2051282,0.2051282,0.0,0.1769231,0.0,0.0884615,0.0,0.0,0.1634615,0.2051282,0.4395604,0.0,0.2051282,0.2051282,0.0,0.0,0.0,0.2051282,0.0,0.0,0.0,0.0,0.1384615,0.0,0.0,0.0,0.2435897,0.1384615,0.0,0.0,0.2197802,0.4903846,0.1384615,0.1384615,0.0,0.3269231,0.0,0.0,0.0,0.0,0.0,0.1384615,0.0,0.4038462,0.0,0.0,0.0,0.0,0.0,0.4102564,0.0,0.0,0.1098901,0.1634615,0.0,0.1384615,0.0,0.0,0.0,0.0,0.1384615,0.1634615,0.0,0.0,0.0,0.0,0.2769231,0.0,0.0,0.0,0.0,0.0,0.2435897,0.0,0.0,0.1384615,0.0,0.0,0.0,0.0,0.0,0.1634615,0.2051282,0.0,0.0,0.1384615,0.1384615,0.0,0.0,0.1384615,0.2769231,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3028846,0.0,0.0,0.875,0.1339286,0.1458333,0.2291667,0.0,0.0,0.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.2678571,0.0,0.0,0.0,0.0,0.1458333,0.0,0.2291667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2916667,0.0,0.0,0.0,0.1339286,0.1875,0.1625,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1458333,0.0,0.0,0.0,0.0,0.0,0.325,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.1625,0.0,0.0,0.1625,0.0,0.0,0.0
0.0,0.2197802,0.0,0.0,0.1339286,0.8571429,0.1547619,0.0,0.0,0.0,0.1214286,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571,0.1547619,0.1714286,0.0,0.0,0.1428571,0.1964286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1339286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3428571,0.0,0.0,0.0,0.0,0.1714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1547619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1547619
0.2380952,0.1217949,0.0,0.0,0.1458333,0.1547619,0.8333333,0.25,0.0,0.0,0.2666667,0.0,0.0,0.0,0.0,0.0,0.25,0.1547619,0.1666667,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.0,0.0,0.1666667,0.0,0.0,0.3666667,0.6190476,0.2083333,0.1833333,0.0,0.0,0.2083333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.1458333,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.1666667,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0
0.0,0.2051282,0.0,0.0,0.2291667,0.0,0.25,0.6666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2916667,0.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.2291667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666667,0.0,0.2666667,0.0,0.0,0.3333333,0.0,0.0,0.2916667,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.2666667,0.0,0.0,0.0
0.202381,0.2051282,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333,0.0,0.25,0.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2380952,0.0,0.0,0.0,0.0,0.2916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333,0.0,0.0,0.2380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2916667,0.0,0.2666667,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1607143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.1964286,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
