约翰逊,辞职,南京,余秀华,家暴,英国,死刑,英国首相,女大学生,宣判,侵权,一审,冰淇淋,马斯克,被判,被告人,印度,美国,局长,洪峤,茅台,江西,生下,驾车,身亡,被家暴,双胞胎,新东方,男友,被害案,被压,爆发,职务,辞去,七七事变,杀人,洪某,起诉,法院,判罚,我不是药神,遇害案,85周年,4岁男童,妇联,女高管
0.9984686,0.9238145,0.0,0.0,0.0,0.6428231,0.0,0.7263978,0.0,0.0,0.0,0.0049328,0.0,0.0,0.0,0.0,0.0033699,0.1251218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0927744,0.5512278,0.6004851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9238145,0.9982143,0.0,0.0,0.0,0.6290219,0.0,0.6626064,0.0,0.0,0.0,0.0051871,0.0,0.0,0.0,0.0,0.003497,0.1270292,0.0030296,0.0,0.0,0.0030574,0.0,0.0030668,0.0034309,0.0,0.0,0.0,0.0,0.0,0.0030858,0.0998599,0.4856516,0.5360141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030763,0.0,0.0
0.0,0.0,0.997561,0.0038635,0.0023823,0.0,0.9104821,0.0,0.995116,0.7662674,0.0,0.6745645,0.0032275,0.00315,0.8275745,0.6982075,0.0,0.0,0.0,0.7241555,0.0036585,0.0,0.0031803,0.0,0.0187879,0.0,0.003556,0.0,0.4204994,0.7561892,0.0,0.0,0.0,0.0,0.0032275,0.6125948,0.7795521,0.0043251,0.3523955,0.0079946,0.0,0.7746363,0.0,0.0,0.0,0.003188
0.0,0.0,0.0038635,0.9985755,0.725641,0.0,0.0021785,0.0,0.0038755,0.0058888,0.0,0.0024129,0.0,0.0,0.0024484,0.0,0.0,0.008288,0.0,0.0,0.0,0.0,0.002673,0.0,0.0032503,0.7339975,0.0,0.0,0.222135,0.0030597,0.0,0.0039802,0.0,0.0,0.0,0.0049139,0.0028674,0.0114535,0.0051765,0.0,0.0,0.0029052,0.0,0.0,0.6575666,0.0
0.0,0.0,0.0023823,0.725641,0.9976744,0.0,0.0026291,0.0,0.0023883,0.0,0.0,0.0,0.0,0.0,0.0028989,0.0,0.0,0.0087385,0.0,0.0,0.0,0.0033273,0.0031236,0.0,0.0,0.3569163,0.0,0.0,0.1780019,0.0,0.0,0.0044308,0.0,0.0,0.0,0.0053645,0.003318,0.0170735,0.0,0.0,0.0,0.0033558,0.0,0.0,0.331099,0.0
0.6428231,0.6290219,0.0,0.0,0.0,0.9954955,0.0,0.527564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0884521,0.004389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0883236,0.3319109,0.3600151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9104821,0.0021785,0.0026291,0.0,0.9970674,0.0,0.9125086,0.6842074,0.0,0.5922208,0.0,0.0,0.8326206,0.6627919,0.0,0.0,0.003603,0.6955322,0.0,0.0036308,0.0,0.0036402,0.0200217,0.0,0.0,0.0,0.3991462,0.6521416,0.0036593,0.0,0.0,0.0,0.0,0.5611277,0.7387754,0.0045719,0.3617642,0.0084881,0.0,0.7355109,0.0,0.0036497,0.0,0.0
0.7263978,0.6626064,0.0,0.0,0.0,0.527564,0.0,0.9966887,0.0,0.0,0.0,0.0033563,0.0,0.0,0.0,0.0,0.0042598,0.0369255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0640068,0.6162426,0.6896843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.995116,0.0038755,0.0023883,0.0,0.9125086,0.0,0.997549,0.7675945,0.0,0.6759454,0.0,0.0,0.8292484,0.6991938,0.0,0.0,0.0,0.7252674,0.0,0.0,0.0,0.0,0.0188178,0.0,0.0,0.0,0.4210434,0.7574565,0.0,0.0,0.0,0.0,0.0032335,0.6132703,0.7809331,0.0043311,0.3527661,0.0080065,0.0,0.7759933,0.0,0.0,0.0,0.0
0.0,0.0,0.7662674,0.0058888,0.0,0.0,0.6842074,0.0,0.7675945,0.9955357,0.0,0.8337585,0.0,0.0,0.5277778,0.6974774,0.0,0.0,0.0,0.6917375,0.0,0.0,0.0,0.0,0.0047702,0.0,0.0,0.0,0.4732143,0.751048,0.0,0.0,0.0,0.0,0.0,0.6498162,0.3685345,0.0053377,0.3883929,0.0050099,0.0,0.35401,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9972973,0.1739658,0.0,0.0032819,0.0154373,0.0,0.1186655,0.2142506,0.0034881,0.0,0.0,0.0035159,0.0033121,0.0035253,0.0038894,0.0,0.0036878,0.6908259,0.0,0.0,0.0035443,0.0046193,0.0,0.0,0.0,0.0,0.0,0.681912,0.2384411,0.7308559,0.7827766,0.0,0.0,0.0035348,0.0,0.0033199
0.0049328,0.0051871,0.6745645,0.0024129,0.0,0.0,0.5922208,0.0033563,0.6759454,0.8337585,0.1739658,0.9965986,0.0,0.0,0.4639668,0.6220802,0.0817921,0.2319109,0.0,0.6255502,0.0,0.0,0.0,0.0,0.0042388,0.0,0.0,0.1826383,0.4336735,0.7205615,0.0,0.0,0.0,0.0,0.0037087,0.6138455,0.3431709,0.1634132,0.5301871,0.0985261,0.0893018,0.3309613,0.0,0.0,0.0,0.0
0.0,0.0,0.0032275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9959839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9071995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.00315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032819,0.0,0.0,0.996139,0.0,0.0,0.0045347,0.0285188,0.0,0.0,0.0,0.0,0.9844954,0.0,0.0,0.0,0.9088605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047083,0.004289,0.0,0.0,0.0,0.0,0.9864485
0.0,0.0,0.8275745,0.0024484,0.0028989,0.0,0.8326206,0.0,0.8292484,0.5277778,0.0154373,0.4639668,0.0,0.0,0.9965278,0.3656083,0.0,0.0,0.0,0.432171,0.0,0.0,0.0,0.0,0.0170967,0.0,0.0,0.0048417,0.4007228,0.3879353,0.0,0.0,0.0,0.0,0.0,0.3265785,0.8599737,0.0096834,0.3782242,0.0270833,0.0163784,0.8526133,0.0,0.0,0.0,0.0
0.0,0.0,0.6982075,0.0,0.0,0.0,0.6627919,0.0,0.6991938,0.6974774,0.0,0.6220802,0.0,0.0,0.3656083,0.9939759,0.0,0.0,0.0,0.8926777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2308827,0.6699333,0.0,0.0,0.0,0.0,0.0,0.7213729,0.2376921,0.0061176,0.269148,0.0057898,0.0,0.2446364,0.0,0.0,0.0,0.0
0.0033699,0.003497,0.0,0.0,0.0,0.0,0.0,0.0042598,0.0,0.0,0.1186655,0.0817921,0.0,0.0045347,0.0,0.0,0.9947917,0.0305398,0.0,0.0,0.0,0.0,0.004565,0.0,0.0,0.0,0.0049406,0.0,0.0,0.0,0.0,0.0,0.0,0.0062538,0.0,0.0,0.0,0.0057098,0.155506,0.1560764,0.1488797,0.0,0.0,0.0,0.0,0.0045727
0.1251218,0.1270292,0.0,0.008288,0.0087385,0.0884521,0.0,0.0369255,0.0,0.0,0.2142506,0.2319109,0.0,0.0285188,0.0,0.0,0.0305398,0.9848485,0.0291375,0.0,0.0,0.0097403,0.0286096,0.0097497,0.0101138,0.0,0.0297366,0.277715,0.0,0.0,0.0097687,0.0216875,0.0239234,0.0336762,0.0,0.0,0.0,0.245671,0.0361201,0.0,0.0,0.0,0.0,0.0097592,0.0,0.0286328
