日本,安倍,身亡,画面,枪击,2人,马斯克,收购,曝光,n年,终止,推特,中枪,政坛
0.9975904,0.6756244,0.6736612,0.2351129,0.3937566,0.1403136,0.0,0.0,0.2385224,0.0,0.003437,0.0,0.2225786,0.6886083
0.6756244,0.998927,0.5897792,0.6609705,0.690336,0.6225901,0.0027686,0.002895,0.6163029,0.0,0.0055372,0.0028092,0.5637019,0.5825313
0.6736612,0.5897792,0.9971671,0.1826199,0.3091332,0.06121,0.0,0.0,0.1556202,0.0,0.0036486,0.0,0.2378224,0.6924395
0.2351129,0.6609705,0.1826199,0.9969419,0.1110842,0.0105395,0.0,0.0,0.8247046,0.0,0.0,0.0,0.4489257,0.0633229
0.3937566,0.690336,0.3091332,0.1110842,0.9973615,0.8159369,0.0,0.0,0.1232667,0.0,0.0,0.0,0.2100367,0.1078318
0.1403136,0.6225901,0.06121,0.0105395,0.8159369,0.9960317,0.0,0.0,0.0209339,0.0,0.0,0.0,0.0836941,0.0199126
0.0,0.0027686,0.0,0.0,0.0,0.0,0.9955357,0.964033,0.0,0.0,0.9866071,0.9820617,0.0,0.0052262
0.0,0.002895,0.0,0.0,0.0,0.0,0.964033,0.995283,0.0,0.0,0.964033,0.9586621,0.0,0.0053525
0.2385224,0.6163029,0.1556202,0.8247046,0.1232667,0.0209339,0.0,0.0,0.9955947,0.0,0.0,0.0,0.1852795,0.0571632
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003437,0.0055372,0.0036486,0.0,0.0,0.0,0.9866071,0.964033,0.0,0.0,0.9955357,0.9865666,0.0,0.0104523
0.0,0.0028092,0.0,0.0,0.0,0.0,0.9820617,0.9586621,0.0,0.0,0.9865666,0.9954545,0.0,0.0052667
0.2225786,0.5637019,0.2378224,0.4489257,0.2100367,0.0836941,0.0,0.0,0.1852795,0.0,0.0,0.0,0.9935065,0.0436854
0.6886083,0.5825313,0.6924395,0.0633229,0.1078318,0.0199126,0.0052262,0.0053525,0.0571632,0.0,0.0104523,0.0052667,0.0436854,0.994012
