下架,用户,删除,武汉大学,谭谈交通,宣布,总统,电视台,霍乱病例,一例,德国,本地文件,全面,广播,目标,发布,美国,霍乱,取消,检测,传播,总理,破产,维权,节目,环保,谭乔,公务员,爆料,欧洲,武汉,版权,学历,赔偿
0.9978355,0.0054113,0.0,0.0018861,0.9305907,0.0037996,0.0,0.6461484,0.0020626,0.0028428,0.0,0.0,0.5599567,0.6041667,0.0,0.2326351,0.0114989,0.0,0.0,0.0,0.238961,0.0,0.0274403,0.5241263,0.5556019,0.0203463,0.6237858,0.0234411,0.0074925,0.0,0.0164502,0.5169465,0.0,0.5027889
0.0054113,0.9967532,0.9837238,0.0,0.0025686,0.0,0.0,0.0039065,0.0,0.0,0.0,0.941182,0.0,0.0044643,0.0,0.2327608,0.0240801,0.0,0.0,0.3327922,0.0287157,0.0,0.0,0.0077209,0.0,0.0,0.0,0.0,0.5944888,0.0,0.0,0.0,0.0,0.0
0.0,0.9837238,0.996732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9475348,0.0,0.0,0.0,0.2235505,0.0120507,0.0,0.0,0.3333333,0.0359477,0.0,0.0,0.0077315,0.0,0.0,0.0,0.0,0.595274,0.0,0.0,0.0,0.0,0.0
0.0018861,0.0,0.0,0.9983923,0.0034981,0.0,0.0,0.0,0.9063993,0.723167,0.0,0.0,0.0135227,0.0,0.0,0.036267,0.1683079,0.6264408,0.0,0.2738793,0.2480171,0.0,0.0088684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5085898,0.0,0.0,0.0
0.9305907,0.0025686,0.0,0.0034981,0.9981096,0.0036626,0.0,0.6908529,0.0038511,0.0027057,0.0,0.0,0.5811104,0.6625655,0.0,0.2252332,0.0113618,0.0070186,0.0,0.0058471,0.2405272,0.0,0.0270291,0.5352483,0.5587659,0.0200722,0.6430276,0.023167,0.0073554,0.0,0.0161761,0.542291,0.0,0.5174676
0.0037996,0.0,0.0,0.0,0.0036626,0.9945652,0.9280985,0.0,0.0,0.0,0.0085313,0.0,0.0064211,0.0,0.0085313,0.0059432,0.1182065,0.0,0.0085313,0.0,0.0,0.6850362,0.582223,0.0,0.0,0.0118083,0.0,0.0,0.0,0.0472332,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.9280985,0.9942529,0.0,0.0,0.0,0.0,0.0,0.0065773,0.0,0.0086875,0.0121987,0.1594828,0.0,0.0,0.0,0.0084291,0.6964368,0.5797182,0.0,0.0,0.0,0.0,0.0,0.0,0.0358934,0.0,0.0,0.0,0.0
0.6461484,0.0039065,0.0,0.0,0.6908529,0.0,0.0,0.9954338,0.0,0.0,0.0,0.0,0.1017757,0.8967025,0.0,0.0661069,0.0,0.0,0.0,0.0,0.1410959,0.0,0.0310429,0.5363626,0.4259562,0.011374,0.2292711,0.0129214,0.0086934,0.0,0.009426,0.402272,0.0,0.0356955
0.0020626,0.0,0.0,0.9063993,0.0038511,0.0,0.0,0.0,0.9980392,0.6359017,0.0,0.0,0.0140523,0.0,0.0,0.0336496,0.1481618,0.5848416,0.0,0.2647059,0.1895425,0.0,0.0090449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.519888,0.0,0.0,0.0
0.0028428,0.0,0.0,0.723167,0.0027057,0.0,0.0,0.0,0.6359017,0.9964789,0.0,0.0,0.0054643,0.0,0.0,0.0299182,0.0974178,0.4497653,0.0,0.2132008,0.1170579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2225855,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0085313,0.0,0.0,0.0,0.0,0.9883721,0.0,0.0190353,0.0,0.9302326,0.0090398,0.0486919,0.0,0.9767442,0.0,0.0,0.0124806,0.0,0.0,0.0,0.7452431,0.0,0.0,0.0,0.7452431,0.0,0.0,0.0,0.0
0.0,0.941182,0.9475348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9963768,0.0,0.0,0.0,0.2317204,0.0122283,0.0,0.0,0.3423913,0.0368357,0.0,0.0,0.0079092,0.0,0.0,0.0,0.0,0.6084169,0.0,0.0,0.0,0.0,0.0
0.5599567,0.0,0.0,0.0135227,0.5811104,0.0064211,0.0065773,0.1017757,0.0140523,0.0054643,0.0190353,0.0,0.9925926,0.0458123,0.0190353,0.2009558,0.0141204,0.0062678,0.0190353,0.0086057,0.0462963,0.0207407,0.0,0.1078139,0.1077812,0.0255892,0.4524164,0.014342,0.010114,0.0127946,0.0108466,0.2058266,0.0,0.5327635
0.6041667,0.0044643,0.0,0.0,0.6625655,0.0,0.0,0.8967025,0.0,0.0,0.0,0.0,0.0458123,0.9943182,0.0,0.0606672,0.0,0.0,0.0,0.0,0.1427399,0.0,0.0218109,0.3307234,0.3936874,0.0,0.2002494,0.0134792,0.0,0.0,0.0,0.3307234,0.0,0.0249126
0.0,0.0,0.0,0.0,0.0,0.0085313,0.0086875,0.0,0.0,0.0,0.9302326,0.0,0.0190353,0.0,0.9883721,0.0271193,0.0649225,0.0,0.9186047,0.0,0.0,0.0124806,0.0138785,0.0,0.0,0.7452431,0.0,0.0,0.0,0.7452431,0.0,0.0,0.0,0.0
