员工,警方,a股,公司,雨衣男,下架,母女,特斯拉,内卷,乐视,苏州,离婚,起火,电视台,新东方,比亚迪,25万,38,谭乔,拘留,股份,合约,回家,彬彬,性关系,拖拽,面包,山东,麦当劳,潜逃,节目,广播,版权,放回,进屋,目标,转让,取消,全面,续约,犯罪,巴菲特,辞退,德国,传播,货架,莱阳,前妻,北京,有限公司,躺平,被判赔,涉事,拒绝,被害人,维权,拖进,律师
0.9984985,0.0,0.0,0.3407953,0.0,0.0039228,0.0,0.003483,0.674512,0.7424789,0.0,0.0,0.0,0.0134197,0.5972622,0.0,0.0,0.0,0.0054231,0.0,0.0,0.0085023,0.0,0.0028341,0.0,0.0,0.6307245,0.0,0.6256772,0.0,0.0066331,0.0083042,0.246821,0.6324957,0.0,0.0,0.0090773,0.0,0.0,0.0031662,0.0,0.0,0.601559,0.0,0.0128651,0.6239357,0.0,0.0,0.3366072,0.2851602,0.546291,0.6007829,0.1793638,0.4798277,0.0,0.0667568,0.0,0.0256898
0.0,0.997416,0.0,0.0,0.7442322,0.0,0.8411492,0.0,0.0,0.0,0.0,0.6484428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3156741,0.0,0.0,0.6037192,0.0,0.2064942,0.513009,0.0,0.6129316,0.0,0.1768881,0.0,0.0,0.0,0.0,0.4629163,0.0059216,0.0,0.0,0.0,0.0,0.5872278,0.0,0.0,0.0,0.0139476,0.0,0.7549923,0.1452524,0.0064466,0.0,0.0,0.0,0.4056597,0.0,0.6096287,0.0,0.6415263,0.0273135
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3407953,0.0,0.0,0.996633,0.0046898,0.1533902,0.0051985,0.0132472,0.2523779,0.2200773,0.0044308,0.0,0.0046955,0.1457807,0.3346945,0.127704,0.0,0.0,0.15306,0.00402,0.1895196,0.0715699,0.0057819,0.0640362,0.0,0.0031203,0.0042877,0.006229,0.0,0.0,0.1815805,0.1271216,0.3912826,0.0043151,0.006463,0.0,0.1313131,0.011367,0.1216524,0.0696823,0.0,0.1261183,0.3346945,0.0,0.1473064,0.0,0.0041107,0.0,0.3760977,0.4987374,0.2590981,0.3363155,0.0196136,0.4732836,0.0,0.2505051,0.0054429,0.113952
0.0,0.7442322,0.0,0.0046898,0.9986772,0.0,0.8579569,0.0,0.0,0.0,0.0,0.6229589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6385366,0.0,0.0,0.5568891,0.0,0.6897203,0.7280606,0.0,0.5571308,0.0,0.6512039,0.0,0.0,0.0,0.0,0.7092056,0.0,0.0,0.0046614,0.0,0.0,0.5531746,0.0,0.0,0.0,0.0380592,0.0,0.6331548,0.6747216,0.011632,0.0,0.0,0.0,0.3750706,0.0079078,0.5569062,0.0,0.5791214,0.0338955
0.0039228,0.0,0.0,0.1533902,0.0,0.9975787,0.0,0.0,0.0,0.0,0.0039579,0.003603,0.0,0.6714084,0.0,0.0,0.0,0.0,0.7326022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4965105,0.631846,0.3274818,0.0,0.0,0.0,0.0099971,0.0,0.5410784,0.0,0.0,0.0,0.0,0.0051477,0.3239462,0.0,0.0,0.0,0.0381918,0.1985696,0.0,0.0,0.01213,0.0169141,0.0,0.4490073,0.0,0.4240882
0.0,0.8411492,0.0,0.0051985,0.8579569,0.0,0.9981685,0.0,0.0,0.0,0.0,0.6219219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6894663,0.0,0.0,0.5916652,0.0,0.2119309,0.8092712,0.0,0.5734266,0.0,0.1785019,0.0,0.0,0.0,0.0,0.7883963,0.0,0.0,0.0049158,0.0,0.0,0.5620879,0.0,0.0,0.0,0.0395854,0.0,0.6786159,0.1557597,0.0121408,0.0,0.0,0.0,0.3923681,0.0,0.5808174,0.0,0.6124446,0.034913
0.003483,0.0,0.0,0.0132472,0.0,0.0,0.0,0.9945355,0.0,0.0,0.9808293,0.0,0.9478076,0.0,0.0,0.0123138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084141,0.0,0.0,0.0,0.0078869,0.0,0.0,0.0,0.0,0.0099786,0.0,0.0,0.0,0.0210895
0.674512,0.0,0.0,0.2523779,0.0,0.0,0.0,0.0,0.9958333,0.8578564,0.0,0.0,0.0,0.009375,0.0,0.005508,0.0,0.0,0.0,0.0,0.0058147,0.0083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3114583,0.0,0.0,0.0,0.0117424,0.0,0.0,0.0,0.0,0.0056548,0.0,0.0,0.0077652,0.0,0.0,0.0,0.007238,0.0,0.2960993,0.0,0.0,0.0279891,0.0,0.0,0.0,0.0
0.7424789,0.0,0.0,0.2200773,0.0,0.0,0.0,0.0,0.8578564,0.996988,0.0,0.0,0.0,0.0082204,0.0,0.0049307,0.0,0.0,0.0,0.0,0.0052374,0.0071787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2814383,0.0,0.0,0.0,0.0105878,0.0,0.0,0.0,0.0,0.0050775,0.0,0.0,0.0071878,0.0,0.0,0.0,0.0066607,0.0,0.6074404,0.0,0.0,0.0262572,0.0,0.0,0.0,0.0
