斯里兰卡,宣布,苹果,美国,发射,终止,总理,卫星,总监,总统,5亿,北京,紧急状态,实施,地球,京东,轨道,快递,顺利,被骗
0.9965517,0.9315506,0.0,0.1339383,0.0139443,0.0,0.6833856,0.0174675,0.0043979,0.6676797,0.0,0.0066261,0.8596993,0.6140086,0.0067241,0.0,0.0,0.0,0.0069325,0.0
0.9315506,0.9965986,0.007568,0.1188686,0.0092493,0.0079059,0.6308596,0.0231962,0.008749,0.6056728,0.0,0.0,0.8344214,0.572449,0.0,0.0,0.0,0.0,0.006909,0.0
0.0,0.007568,0.9958333,0.0152412,0.0,0.9451577,0.0,0.0,0.8753119,0.0,0.0,0.0,0.0,0.0,0.0070833,0.0083333,0.0,0.0,0.0,0.0
0.1339383,0.1188686,0.0152412,0.9736842,0.0,0.0154101,0.0177033,0.0,0.0158317,0.1391615,0.0,0.0180599,0.1086929,0.0776316,0.0181579,0.0,0.0,0.0,0.0183662,0.0
0.0139443,0.0092493,0.0,0.0,0.994152,0.0,0.0149389,0.8005464,0.0,0.0,0.0,0.0704334,0.0105873,0.0,0.7448538,0.0,0.8082359,0.0,0.7563048,0.0
0.0,0.0079059,0.9451577,0.0154101,0.0,0.9954955,0.0,0.0,0.906393,0.0064895,0.0,0.0,0.0,0.0,0.0072523,0.0,0.0,0.0,0.0,0.0
0.6833856,0.6308596,0.0,0.0177033,0.0149389,0.0,0.9909091,0.0172876,0.0072193,0.4742681,0.0,0.0,0.5186342,0.7556818,0.0,0.0,0.0,0.0,0.0,0.0
0.0174675,0.0231962,0.0,0.0,0.8005464,0.0,0.0172876,0.9918033,0.0,0.0166713,0.0,0.0810029,0.0129361,0.0206967,0.8552459,0.0,0.925167,0.0,0.8655225,0.0
0.0043979,0.008749,0.8753119,0.0158317,0.0,0.906393,0.0072193,0.0,0.9946524,0.0,0.0,0.0,0.0050435,0.0089238,0.0076738,0.0,0.0,0.0,0.0,0.0
0.6676797,0.6056728,0.0,0.1391615,0.0,0.0064895,0.4742681,0.0166713,0.0,0.9915254,0.0,0.0,0.5021287,0.3251059,0.0,0.0,0.0,0.0,0.0094456,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0066261,0.0,0.0,0.0180599,0.0704334,0.0,0.0,0.0810029,0.0,0.0,0.0,0.9901961,0.0,0.0,0.0891176,0.847549,0.0857843,0.8610681,0.1011029,0.0122549
0.8596993,0.8344214,0.0,0.1086929,0.0105873,0.0,0.5186342,0.0129361,0.0050435,0.5021287,0.0,0.0,0.9952607,0.4223637,0.0,0.0,0.0,0.0,0.007578,0.0
0.6140086,0.572449,0.0,0.0776316,0.0,0.0,0.7556818,0.0206967,0.0089238,0.3251059,0.0,0.0,0.4223637,0.9875,0.0,0.0,0.0,0.0,0.0,0.0
0.0067241,0.0,0.0070833,0.0181579,0.7448538,0.0072523,0.0,0.8552459,0.0076738,0.0,0.0,0.0891176,0.0,0.0,0.99,0.0,0.9051852,0.0,0.826875,0.0
0.0,0.0,0.0083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.847549,0.0,0.0,0.0,0.9875,0.0,0.9621711,0.0,0.0
0.0,0.0,0.0,0.0,0.8082359,0.0,0.0,0.925167,0.0,0.0,0.0,0.0857843,0.0,0.0,0.9051852,0.0,0.9907407,0.0,0.9149306,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8610681,0.0,0.0,0.0,0.9621711,0.0,0.9868421,0.0,0.0
0.0069325,0.006909,0.0,0.0183662,0.7563048,0.0,0.0,0.8655225,0.0,0.0094456,0.0,0.1011029,0.007578,0.0,0.826875,0.0,0.9149306,0.0,0.9895833,0.0125613
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122549,0.0,0.0,0.0,0.0,0.0,0.0,0.0125613,0.9852941
